CVE-2020-9367||Zoho ManageEngine Desktop Central MSP build MSP build 10.0.486中的MPS代理容易受到DLL劫持的影响：dcinventory.exe和dcconfig.exe试图加载CSUNSAPI.dll而不提供完整路径。由于该DLL在安装中缺失，该问题变得更加严重，因此有可能劫持该DLL并随后注入代码，导致权限升级到NT AUTHORITY/SYSTEM。
CVE-2020-9384||** DISPUTED ** Subex ROC Partner Settlement 10.5的Change Password功能中存在不安全的直接对象引用（IDOR）漏洞，允许远程认证的用户通过操纵POST参数实现账户接管。注意：该漏洞可能只影响应用程序的测试版本。
CVE-2020-9385||Zint 2.7.1中的libzint存在NULL指针解读，因为在生成EAN条形码时，upcean.c中的add_on调用多个+字符时被错误地处理。
CVE-2020-9386||在Mahara 18.10（18.10.5之前）、19.04（19.04.4之前）和19.10（19.10.2之前）中，文件元数据信息被披露给Elasticsearch结果列表中的小组成员，尽管他们不再访问该工件。
CVE-2020-9387||在Mahara 19.04（19.04.5之前）和19.10（19.10.3之前）中，当配置设置 "Isolated institutions "打开时，在Elasticsearch结果中共享无法访问的账户细节。
CVE-2020-9388||CSRF保护在4.6.0版之前不存在于SquaredUp。管理员通过精心制作的HTML页面在HTML仪表盘瓦片中执行任意代码，或将恶意的SVG有效载荷上传到仪表盘中，可能会发生CSRF攻击。
CVE-2020-9389||在SquaredUp 4.6.0版本之前发现一个用户名枚举问题。登录功能的实现方式使恶意用户能够猜测有效的用户名，因为无效的用户名的响应时间不同。
CVE-2020-9390||SquaredUp在4.6.0版之前允许存储的XSS。用户能够创建一个仪表板，在iframe中执行恶意内容，或通过上传包含脚本的SVG。
CVE-2020-9391||在AArch64架构的Linux内核5.4和5.5至5.5.6中发现一个问题。它忽略了传递给brk系统调用的地址中的顶部字节，可能会在应用程序期望它向上移动时向下移动内存中断，又称CID-dcde237319e6。这已被观察到会导致GNU C库malloc实现的堆损坏。
CVE-2020-9392||在WordPress的1.8.2之前的定价表-by-supsystic插件中发现一个问题。由于ImportJSONTable、createFromTpl和getJSONExportTable端点没有权限检查，未认证的用户可以检索定价表信息，创建新表，或导入/修改表。
CVE-2020-9393||在1.8.2之前的WordPress的定价表-by-supsystic插件中发现一个问题。它允许XSS。
CVE-2020-9394||在1.8.2之前的WordPress的定价表-by-supsystic插件中发现一个问题。它允许CSRF。
CVE-2020-9395||在2.0.6之前的Realtek RTL8195AM、RTL8711AM、RTL8711AF和RTL8710AF设备上发现一个问题。客户端代码中存在基于堆栈的缓冲区溢出，该代码通过带有长密钥数据缓冲区的畸形EAPOL-Key包处理WPA2的4路握手。
CVE-2020-9398||3.1.15p3之前的ISPConfig，当手动启用无记载的reverse_proxy_panel_allowed=sites选项时，允许SQL注入。
CVE-2020-9399||Avast AV解析引擎允许通过制作的ZIP档案绕过病毒检测。这影响到12定义200114-0之前的Antivirus Pro、Antivirus Pro Plus和Antivirus for Linux版本。
CVE-2020-9402||Django 1.11 before 1.11.29, 2.2 before 2.2.11, and 3.0 before 3.0.4允许SQL注入，如果不受信任的数据被用作Oracle上GIS函数和聚合的公差参数。通过向Oracle上的GIS函数和聚合函数传递适当制作的公差，有可能破坏逃逸并注入恶意SQL。
CVE-2020-9403|||在4.1 SP6之前的PACTware和5.0.5.31之前的5.x中，密码以可恢复的格式存储，并可由任何可访问PACTware工作站的用户检索。
CVE-2020-9404||在PACTware 4.1 SP6之前和5.0.5.31之前的5.x中，密码以不安全的方式存储，并可能被不知道当前密码的攻击者修改。
CVE-2020-9405||IBL Online Weather 4.3.5a之前允许通过重定向页面进行未经认证的反射式XSS。
CVE-2020-9406||IBL Online Weather before 4.3.5a允许通过辅助服务的queryBCP方法进行未经认证的评估注入。
CVE-2020-9407||IBL Online Weather 4.3.5a之前允许攻击者通过读取IWEBSERVICE_JSONRPC_COOKIE cookie获得敏感信息。
CVE-2020-9408||TIBCO Software Inc.的TIBCO Spotfire Analytics Platform for AWS Marketplace和TIBCO Spotfire Server的Spotfire库组件包含一个漏洞，理论上允许具有Spotfire库写入权限但没有 "脚本作者 "组权限的攻击者修改保存在库中的文件和对象的属性，从而使系统将其视为受信任。这可能允许攻击者以启动这些进程的系统账户的权限导致Spotfire网络播放器、分析器客户端和TERR服务执行任意代码。受影响的版本是TIBCO软件公司的TIBCO Spotfire Analytics Platform for AWS Marketplace：10.8.0及以下版本和TIBCO Spotfire Server：7.11.9及以下版本，7.12.0、7.13.0、7.14.0、10.0.0、10.0.1、10.1.0、10.2.0、10.3.0、10.3.1、10.3.2、10.3.3、10.3.4、10.3.5和10.3.6，版本10.4.0、10.5.0、10.6.0、10.6.1、10.7.0以及10.8.0。
CVE-2020-9409||TIBCO Software Inc.的TIBCO JasperReports Server、TIBCO JasperReports Server for AWS Marketplace和TIBCO JasperReports Server for ActiveMatrix BPM的管理用户界面组件包含一个漏洞，理论上允许未经认证的攻击者获得受影响系统的JasperReports Server "超级用户 "的权限。攻击者理论上可以持续地、远程地、不经认证地利用该漏洞。受影响的版本是TIBCO软件公司的TIBCO JasperReports Server：7.1.1及以下版本，TIBCO JasperReports Server for AWS Marketplace：7.1.1及以下版本，以及TIBCO JasperReports Server for ActiveMatrix BPM：7.1.1及以下版本。
CVE-2020-9410||TIBCO Software Inc.的TIBCO JasperReports Library、TIBCO JasperReports Library for ActiveMatrix BPM、TIBCO JasperReports Server、TIBCO JasperReports Server for AWS Marketplace和TIBCO JasperReports Server for ActiveMatrix BPM包含一个漏洞，理论上攻击者可以利用HTML注入，获得对包含报告生成器组件输出的网络界面的完全控制，并拥有查看受影响报告的任何用户的权限。当其他用户查看恶意生成的报告时，攻击者理论上可以利用这一漏洞，而这些报告使用Fusion Charts和数据源，其内容由攻击者控制。受影响的版本有TIBCO软件公司的TIBCO JasperReports Library：版本7.1.1及以下，版本7.2.0和7.2.1，版本7.3.0，版本7.5.0，TIBCO JasperReports Library for ActiveMatrix BPM：版本7.1。1及以下版本，TIBCO JasperReports服务器：7.1.1及以下版本，7.2.0版本，7.5.0版本，TIBCO JasperReports Server for AWS Marketplace：7.5.0及以下版本，以及TIBCO JasperReports Server for ActiveMatrix BPM：7.1.1及以下版本。
CVE-2020-9411||TIBCO Software Inc.的TIBCO Managed File Transfer Platform Server for IBM i的文件传输组件包含一个漏洞，理论上允许攻击者执行未经授权的网络文件传输，并从受影响组件可访问的文件系统中传输。当配置选项 "要求节点响应 "设置为 "否 "时，该漏洞可被利用。在成功利用的情况下，攻击者理论上可以读写受影响组件可访问的文件系统上的任何文件，从而完全影响托管部署受影响系统的操作系统的保密性、完整性和可用性。受影响的版本是TIBCO Software Inc.的TIBCO Managed File Transfer Platform Server for IBM i：7.1.0及以下版本，8.0.0版本。
CVE-2020-9412||TIBCO Software Inc.的TIBCO Managed File Transfer Platform Server for IBM i的文件传输组件包含一个漏洞，理论上允许在文件传输失败后在受影响系统的权限级别执行任意命令。受影响的版本是TIBCO Software Inc.的TIBCO Managed File Transfer Platform Server for IBM i：7.1.0及以下版本，8.0.0版本。
CVE-2020-9413||TIBCO Software Inc.的TIBCO管理文件传输命令中心和TIBCO管理文件传输互联网服务器的MFT浏览器文件传输客户端和MFT浏览器管理客户端组件包含一个漏洞，理论上允许攻击者制作一个URL，在受影响系统上执行任意命令。如果攻击者说服当前处于活动状态的认证用户输入或点击该URL，则该命令将在受影响系统上执行。受影响的版本是TIBCO软件公司的TIBCO管理文件传输命令中心：8.2.1及以下版本和TIBCO管理文件传输互联网服务器：8.2.1及以下版本。
CVE-2020-9414||TIBCO Software Inc.的TIBCO管理文件传输命令中心和TIBCO管理文件传输互联网服务器的MFT管理服务组件包含一个漏洞，理论上允许具有特定权限的认证用户获取另一个用户的会话标识符。该会话标识符在重播时可向受影响的系统提供管理权限或文件传输权限。受影响的版本是TIBCO软件公司的TIBCO管理文件传输命令中心：8.2.1及以下版本和TIBCO管理文件传输互联网服务器：8.2.1及以下版本。
CVE-2020-9415||TIBCO Software Inc.的TIBCO Data Virtualization和TIBCO Data Virtualization for AWS Marketplace的TIBCO Data Virtualization Server组件包含一个漏洞，理论上允许恶意认证的用户从受影响系统中下载任何任意文件。该用户必须经过认证，并拥有以操作身份监控服务器所需的权限。受影响的版本是TIBCO软件公司的TIBCO Data Virtualization：7.0.8及以下版本，8.0.0、8.1.0、8.1.1和8.2.0版本以及TIBCO Data Virtualization for AWS Marketplace：8.2.0及以下版本。
CVE-2020-9416||TIBCO Software Inc.的TIBCO Spotfire Analyst、TIBCO Spotfire Analytics Platform for AWS Marketplace、TIBCO Spotfire Desktop和TIBCO Spotfire Server的Spotfire客户端组件含有一个漏洞，理论上允许合法用户注入脚本。如果由认证为受影响系统的受害者执行，这些脚本将以受害者的权限执行。受影响的版本有TIBCO软件公司的TIBCO Spotfire Analyst：版本10.7.0、10.8.0、10.9.0和10.10.0，TIBCO Spotfire Analytics Platform for AWS Marketplace：版本10.7.0、10.8.0、10。8.1、10.9.0、10.10.0和10.10.1，TIBCO Spotfire Desktop：版本10.7.0、10.8.0、10.9.0和10.10.0，以及TIBCO Spotfire Server：版本10.7.0、10.8.0、10.8.1、10.9.0、10.10.0、和10.10.1。
TIBCO软件公司的TIBCO Foresight Archive and Retrieval System、TIBCO Foresight Archive and Retrieval System Healthcare Edition、TIBCO Foresight Operational Monitor、TIBCO Foresight Operational Monitor Healthcare Edition、TIBCO Foresight Transaction Insight和TIBCO Foresight Transaction Insight Healthcare Edition的Transaction Insight报告组件存在漏洞，理论上允许通过验证的攻击者执行SQL注入。受影响的版本是TIBCO软件公司的TIBCO Foresight Archive and Retrieval System：5.1.0及以下版本、5.2.0版本，TIBCO Foresight Archive and Retrieval System Healthcare Edition：5.1.0及以下版本、5.2.0版本，TIBCO Foresight Operational Monitor：5.1.0及以下版本，5.2.0版本，TIBCO Foresight Operational Monitor Healthcare Edition：5.1.0及以下版本，5.2.0版本，TIBCO Foresight Transaction Insight：5.1.0及以下版本，5.2.0版本，以及TIBCO Foresight Transaction Insight Healthcare Edition：5.1.0及以下版本，5.2.0版本。
CVE-2020-9418||PDFescape Desktop 4.0.22及以前版本的安装程序中存在一个不受信任的搜索路径漏洞，允许攻击者通过DLL劫持获得权限并执行代码。
CVE-2020-9419||Arcadyan Wifi 路由器 VRV9506JAC23 中存在多个存储的跨站脚本 (XSS) 漏洞，允许远程攻击者通过管理仪表板的 LAN 配置部分中的 hostName 和 domain_name 参数注入任意网页脚本或 HTML。
CVE-2020-9420||Arcadyan Wifi路由器VRV9506JAC23的网络管理仪表板的登录密码以明文形式发送，允许攻击者嗅探和拦截流量以了解路由器的管理凭证。
CVE-2020-9423||8.3.3之前的LogicalDoc可能允许攻击者上传任意文件，导致命令执行或从数据库检索数据。LogicalDoc提供了一个添加文件的功能。这些文件随后可用于多种任务，如版本控制、用户之间共享、应用标签等。这个功能可以被一个未经认证的攻击者滥用，在一个受限制的文件夹中上传一个任意文件。这将导致以root权限执行恶意命令。
CVE-2020-9425||在3.9.4之前的rConfig的includes/head.inc.php中发现一个问题。未经认证的攻击者可以通过对settings.php的GET请求检索保存的明文凭证。由于应用程序在应用重定向后没有退出，页面的其余部分仍然执行，导致响应中的明文凭证被泄露。
CVE-2020-9426||OX Guard 2.10.3及更早版本允许XSS。
CVE-2020-9427||OX Guard 2.10.3及更早版本允许SSRF。
CVE-2020-9428||在Wireshark 3.2.0至3.2.1，3.0.0至3.0.8，以及2.6.0至2.6.14中，EAP解析器可能崩溃。该问题已在epan/dissectors/packet-eap.c中通过使用更谨慎的scanf解析得到解决。
CVE-2020-9429||在 Wireshark 3.2.0 至 3.2.1 中，WireGuard 剖析器可能崩溃。在 epan/dissectors/packet-wireguard.c 中，通过处理某些数据结构故意为 NULL 值的情况，解决了这个问题。
CVE-2020-9430||在Wireshark 3.2.0至3.2.1，3.0.0至3.0.8，以及2.6.0至2.6.14中，WiMax DLMAP分析器可能崩溃。该问题已在 plugins/epan/wimax/msg_dlmap.c 中通过验证一个长度字段得到解决。
CVE-2020-9431||在Wireshark 3.2.0 to 3.2.1, 3.0.0 to 3.0.8, and 2.6.0 to 2.6.14中，LTE RRC dissector可能泄露内存。这个问题已在epan/dissectors/packet-lte-rrc.c中通过调整某些追加操作得到解决。
CVE-2020-9432||openssl_x509_check_host in lua-openssl 0.7.7-1 错误处理 X.509 证书验证，因为它对某些非布尔返回值使用 lua_pushboolean。
CVE-2020-9433||openssl_x509_check_email in lua-openssl 0.7.7-1 由于使用 lua_pushboolean 的某些非boolean 返回值，误处理了 X.509 证书验证。
CVE-2020-9434||openssl_x509_check_ip_asc 在 lua-openssl 0.7.7-1 中误处理 X.509 证书验证，因为它使用 lua_pushboolean 的某些非boolean 返回值。
CVE-2020-9435-PHOENIX CONTACT TC ROUTER 3002T-4G through 2.05.3, TC ROUTER 2002T-3G through 2.05.3, TC ROUTER 3002T-4G VZW through 2.05.3, TC ROUTER 3002T-4G ATT through 2.05.3，TC CLOUD CLIENT 1002-4G至2.03.17，以及TC CLOUD CLIENT 1002-TX至1.03.17设备包含一个硬编码证书（和密钥），默认用于设备上基于网络的服务。如果在安装过程中没有将通用证书替换为设备特定的证书，就有可能发生冒充、中间人或被动解密攻击。
CVE-2020-9436联系TC ROUTER 3002T-4G through 2.05.3, TC ROUTER 2002T-3G through 2.05.3, TC ROUTER 3002T-4G VZW through 2.05.3, TC ROUTER 3002T-4G ATT through 2.05.3, TC CLOUD CLIENT 1002-4G through 2.03.17, and TC CLOUD CLIENT 1002-TX through 1.03.17 devices allow authenticated users to inject system commands through a modified POST request to a specific URL.
CVE-2020-9437||SecureAuth IdP 9.3.0中的SecureAuth.aspx存在客户端模板注入问题，允许脚本执行，方式与XSS相同。
CVE-2020-9438||固件在3.2之前的Tinxy门锁允许攻击者通过重放攻击者之前被授权时发生的解锁请求来解锁门。换句话说，门禁撤销被错误地处理了。
CVE-2020-9439||Uncanny Owl Tin Canny LearnDash Reporting 3.4.4之前存在多个跨站脚本(XSS)漏洞，允许认证的远程攻击者通过TinCan_Content_List_Table.php中的search_key GET参数、licensing.php中的message GET参数、Reporting-admin-menu中的tc_filter_group参数注入任意网页脚本或HTML。php中的tc_filter_user参数, reporting-admin-menu.php中的tc_filter_course参数, reporting-admin-menu.php中的tc_filter_lesson参数, reporting-admin-menu.php中的tc_filter_module参数, reporting-admin-menu.php中的tc_filter_action参数, reporting-admin-menu.php中的tc_filter_data_range参数, 或 reporting-admin-menu.php中的tc_filter_data_range_last参数。
CVE-2020-9440||CKEditor 4的WSC插件在5.5.7.5之前存在跨站脚本（XSS）漏洞，远程攻击者可以通过向编辑器注入精心制作的HTML元素，在IFRAME元素中运行任意网页脚本。
CVE-2020-9442||OpenVPN Connect 3.1.0.361 on Windows has Insecure Permissions for %PROGRAMDATA%\OpenVPN Connect\drivers\tap\amd64\win10, which allows local users to gain privileges by copy a malicious drvstore.dll there.
CVE-2020-9443||Zulip Desktop在4.0.3之前在禁用网络安全的Electron webview中加载不受信任的内容，这可以通过多种方式利用XSS。这特别影响到Zulip Desktop 2.3.82。
CVE-2020-9444||Zulip Server在2.1.3之前允许通过Markdown功能进行反向tabnabbing。
CVE-2020-9445||Zulip Server 2.1.3之前允许通过Markdown功能中的modal_link功能进行XSS。
CVE-2020-9447||GwtUpload 1.0.3中的文件上传功能存在XSS（跨站脚本）漏洞。有人可以上传一个带有恶意文件名的文件，其中包含JavaScript代码，这将导致XSS。跨站脚本使攻击者能够窃取数据，改变网站的外观，并进行其他恶意活动，如网络钓鱼或偷袭。
CVE-2020-9449||在BlaB！AX中存在不安全的随机数生成漏洞。AX、BlaB!AX专业版、BlaB!WS（客户端）和BlaB!WS Pro（客户端）19.11版中的一个不安全的随机数生成漏洞，允许攻击者（拥有访客或用户会话cookie）通过检索cookie的盐值并为任意用户或管理员创建一个有效的会话cookie来提升权限。
CVE-2020-9450||在Acronis True Image 2020 24.5.22510中发现一个问题。anti_ransomware_service.exe暴露了一个REST API，每个人都可以使用，甚至是非特权用户。这个API被用来从GUI到anti_ransomware_service.exe进行通信。这可以被利用来添加任意的恶意可执行文件到白名单，甚至排除整个驱动器被anti_ransomware_service.exe监控。
CVE-2020-9451||在Acronis True Image 2020 24.5.22510发现一个问题。anti_ransomware_service.exe在非特权用户有写入权限的文件夹中保存日志。日志是以可预测的模式生成的，允许非特权用户从一个（尚未创建的）日志文件创建一个硬链接到anti_ransomware_service.exe。在重启时，这迫使anti_ransomware_service试图将其日志写入自己的进程中，在共享违约中崩溃。这种崩溃发生在每次重启时。
CVE-2020-9452||在Acronis True Image 2020 24.5.22510中发现一个问题。anti_ransomware_service.exe包括通过使用SYSTEM权限将可疑的勒索软件文件从一个目录复制到另一个目录来隔离文件的功能。由于非特权用户在隔离文件夹中有写入权限，因此可以用硬链接控制这种特权写入。这意味着非特权用户可以在任意文件夹中写入/改写任意的文件。通过任意写入，将权限升级到SYSTEM是很简单的。虽然隔离区功能在默认情况下没有启用，但可以通过与anti_ransomware_service.exe的REST API进行通信，强制将文件复制到隔离区。
CVE-2020-9453||在爱普生iProjection v2.30中，由于没有验证IOCtl 0x9C402406和IOCtl 0x9C40240A的输入值，驱动文件EMP_MPAU.sys允许本地用户造成拒绝服务（BSOD）或可能产生不明的其他影响。(0x9C402402只有一个NULL指针解除引用。) 这影响到了\Device\EMPMPAUIO和\DosDevices\EMPMPAU。
CVE-2020-9454||WordPress的RegistrationMagic插件在4.6.0.3之前存在CSRF漏洞，允许远程攻击者代表网站管理员伪造请求，以改变该插件的所有设置，包括删除用户、以升级的权限创建新角色，以及允许通过表单上传PHP文件。
CVE-2020-9455||WordPress的RegistrationMagic插件通过4.6.0.3允许远程认证用户（具有最小权限）通过class_rm_user_services.php send_email_user_view代表网站发送任意电子邮件。
CVE-2020-9456||在RegistrationMagic插件到4.6.0.3的WordPress中，用户控制器允许远程认证的用户（具有最小权限）通过class_rm_user_controller.php rm_user_edit将其权限提升到管理员。
CVE-2020-9457||WordPress的RegistrationMagic插件通过4.6.0.3允许远程认证用户（拥有最小权限）通过class_rm_form_settings_controller.php导入自定义的脆弱表单并更改表单设置，导致权限升级。
CVE-2020-9458|||在RegistrationMagic插件到4.6.0.3的WordPress中，导出功能允许远程认证用户（具有最小权限）通过class_rm_form_controller.php rm_form_export导出提交的表单数据和设置。
CVE-2020-9459||多个存储的跨站脚本(XSS)漏洞在Webnus Modern Events Calendar Lite插件通过5.1.6 for WordPress允许远程认证的用户（具有最小权限）通过Ajax动作注入任意JavaScript、HTML或CSS。这影响到 mec_save_notifications 和 import_settings。
CVE-2020-9460||Octech Oempro 4.7至4.11允许认证用户的XSS。Campaign.Create中的参数CampaignName存在漏洞。
CVE-2020-9461||Octech Oempro 4.7到4.11允许通过认证的用户存储XSS。Media.CreateFolder命令中的FolderName参数存在漏洞。
CVE-2020-9462|||在所有Athom Homey和Homey Pro设备中发现一个问题，直到当前版本4.2.0。在射频范围内的攻击者可以在设备设置期间获得设备的网络配置的明文副本，包括Wi-Fi PSK。一旦成功，攻击者就能进一步渗透到目标的Wi-Fi网络中。
CVE-2020-9463||Centreon 19.10允许远程认证用户通过api/internal.php?object=centreon_configuration_remote请求中JSON数据中的server_ip字段的shell元字符执行任意操作系统命令。
CVE-2020-9464||BECKHOFF Ethernet TCP/IP Bus Coupler BK9000存在拒绝服务漏洞。攻击发生后，可通过重启来恢复设备的功能。
CVE-2020-9465||在EyesOfNetwork eonweb 5.1至5.3之前发现一个问题。 eonweb网页界面容易出现SQL注入，允许未认证的攻击者通过cookie中的user_id字段执行各种任务，如绕过认证。
CVE-2020-9466||WordPress的Export Users to CSV插件通过1.4.2允许CSV注入。
CVE-2020-9467||Piwigo 2.10.1由于pwg.images.setInfo函数，通过/ws.php请求中的文件参数存储XSS。
CVE-2020-9468||Piwigo的Community插件2.9.e-beta允许用户通过操纵image_id参数，对相册中没有权限的图片设置图片信息。
CVE-2020-9470||2020年2月前在Wing FTP Server 6.2.5发现一个问题。由于处理会话cookie时的不安全权限，本地用户可以查看会话和session_admin目录的内容，这些目录暴露了Wing FTP HTTP界面和管理面板中的活动会话cookie。这些cookie可能被用来劫持用户和管理会话，包括在管理面板中以root身份执行Lua命令的能力。
CVE-2020-9471||Umbraco Cloud 8.5.3允许通过安装包功能进行认证的文件上传（并因此实现远程代码执行）。
CVE-2020-9472||Umbraco CMS 8.5.3允许通过安装包功能进行认证的文件上传（并因此导致远程代码执行）。
CVE-2020-9473||S. Siedle & Soehne SG 150-0 Smart Gateway 1.2.4之前有一个无密码的ftp ssh用户。通过使用漏洞链，可以访问网络的攻击者可以在网关上获得root权限。
CVE-2020-9474||S. Siedle & Soehne SG 150-0 Smart Gateway在1.2.4之前允许通过Web前端的备份功能执行远程代码。通过使用漏洞链，有网络权限的攻击者可以在网关上获得根权限。
CVE-2020-9475||S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 允許透過logrotate的競爭條件提升本地權限。通过使用漏洞链，有网络权限的攻击者可以在网关上获得根权限。
CVE-2020-9476||ARRIS TG1692A设备允许远程攻击者通过读取/login页面并执行base64解码来发现管理员的登录名和密码。
CVE-2020-9477||在HUMAX HGA12R-02 BRGCAA 1.1.53设备上发现一个问题。基于Web的界面中的认证功能存在漏洞，可能允许未经认证的远程攻击者在认证时捕获数据包并获得对明文密码的访问。攻击者可以利用这个权限创建一个新的用户账户或控制设备。
CVE-2020-9478||在Rubrik 5.0.3-2296发现一个问题。一个操作系统命令注入漏洞允许认证的攻击者在Rubrik管理的系统上远程执行任意代码。
CVE-2020-9479||加载UDF时，特制的压缩文件可能允许文件被放置在UDF部署目录之外。这个问题影响到Apache AsterixDB的未发布版本，提交时间为580b81aa5e8888b8e1b0620521a1c9680e54df73和28c0ee84f1387ab5d0659e9e822f4e3923ddc22d。注意：这个CVE可能被拒绝，因为这个问题没有影响到Apache AsterixDB的任何发布版本。
CVE-2020-9480||在Apache Spark 2.4.5和更早的版本中，独立资源管理器的主控器可能被配置为需要通过共享秘密进行认证（spark.authenticate）。然而，当启用时，即使没有共享密钥，对主控程序进行特别设计的RPC也能成功启动Spark集群上的应用程序资源。这可以被利用来在主机上执行shell命令。这并不影响使用其他资源管理器的Spark集群（YARN、Mesos等）。
CVE-2020-9481||Apache ATS 6.0.0 to 6.2.3, 7.0.0 to 7.1.9, and 8.0.0 to 8.0.6容易受到HTTP/2慢速读取攻击。
CVE-2020-9482||如果NiFi Registry 0.1.0至0.5.0使用PKI以外的认证机制，当用户点击注销时，NiFi Registry在客户端使认证令牌无效，但在服务器端没有。这允许用户的客户端令牌在注销后12小时内被用于向NiFi Registry提出API请求。
CVE-2020-9483||***已解决***当使用H2/MySQL/TiDB作为Apache SkyWalking存储，通过GraphQL协议查询元数据时，存在SQL注入漏洞，允许访问未被保护的数据。Apache SkyWalking 6.0.0到6.6.0，7.0.0 H2/MySQL/TiDB存储实现没有使用适当的方式来设置SQL参数。
CVE-2020-9484||当使用Apache Tomcat 10.0.0-M1至10.0.0-M4、9.0.0.1至9.0.34、8.5.0至8.5.54和7.0.0至7.0版本。103 如果 a) 攻击者能够控制服务器上的文件内容和名称；并且 b) 服务器被配置为使用带有 FileStore 的 PersistenceManager；并且 c) PersistenceManager 被配置为 sessionAttributeValueClassNameFilter="null"（默认值，除非使用 SecurityManager）或一个足够宽松的过滤器，允许攻击者提供的对象被反序列化。d) 攻击者知道从FileStore使用的存储位置到攻击者控制的文件的相对文件路径；然后，使用专门制作的请求，攻击者将能够通过他们控制的文件的反序列化触发远程代码执行。请注意，所有条件a)至d)必须为真，攻击才会成功。
CVE-2020-9485||Apache Airflow 1.10.10及以下版本中发现一个问题。在 "经典 "用户界面的图表页面中发现了一个存储的XSS漏洞。
CVE-2020-9486||在Apache NiFi 1.10.0至1.11.4中，NiFi无状态执行引擎产生的日志输出包括敏感的属性值。当流量被触发时，流量定义配置JSON被打印出来，可能包含明文的敏感值。
CVE-2020-9487||在Apache NiFi 1.0.0至1.11.4中，NiFi下载令牌（一次性密码）机制使用固定的缓存大小，并且不验证创建下载令牌的请求，只有在试图使用令牌访问内容时才进行验证。一个未经认证的用户可以重复请求下载令牌，阻止合法用户请求下载令牌。
CVE-2020-9488||Apache Log4j SMTP appender中对主机不匹配的证书进行不当验证。这可能允许SMTPS连接被中间人攻击截获，从而泄露通过该应用程序发送的任何日志信息。在Apache Log4j 2.12.3和2.13.1中得到修复。
CVE-2020-9489||精心制作的或损坏的文件可能会触发Tika的OneNote解析器中的System.exit。精心制作的或损坏的文件还可能导致Tika的ICNSParser、MP3Parser、MP4Parser、SAS7BDATParser、OneNoteParser和ImageParser出现内存不足或无限循环。Apache Tika用户应升级到1.24.1或更高版本。MP4Parser中的漏洞通过升级com.googlecode:isoparser:1.1.22依赖关系到org.tallison:isoparser:1.9.41.2得到部分修复。出于无关的安全原因，我们将org.apache.cxf升级到3.3.6，作为1.24.1版本的一部分。
