CVE-2022-21932||Microsoft Dynamics 365 Customer Engagement跨站脚本漏洞。
CVE-2022-21946|| openSUSE Factory cscreen 的 sudoers 配置中存在不当的权限管理漏洞，允许任何本地用户获得 tty 和 dialout 组的权限，并访问和操纵任何正在运行的 cscreen seesion。此问题影响：openSUSE Factory cscreen 1.2-1.3 版和之前的版本。
CVE-2022-21947||SUSE的Rancher Desktop中的不当访问控制漏洞允许本地网络中的攻击者连接到Dashboard API（steve）以执行任意操作。此问题会影响到。SUSE Rancher Desktop V 之前的版本。
CVE-2022-21949||SUSE Open Build Service 中对 XML 外部实体引用的不当限制的漏洞允许远程攻击者在某些操作中引用外部实体。这可用于从服务器上获取信息，并可被滥用来升级到OBS上的管理员权限。此问题会影响。2.10.13 之前的 SUSE Open Build Service 开放式构建服务版本。
CVE-2022-21950|| openSUSE Backports SLE-15-SP3、openSUSE Backports SLE-15-SP4 中 cana 的 systemd 服务存在不当访问控制漏洞，允许本地用户劫持 UNIX 域套接字 此问题影响：openSUSE Backports SLE-15-SP3 canna 3 之前的版本。openSUSE Backports SLE-15-SP4 canna 3.7p3-bp153.2.3.1 之前的版本。 openSUSE Factory 也受到影响。它没有修复该软件包，而是在那里被删除。
CVE-2022-21951||SUSE Rancher 中的敏感数据加密缺失漏洞，Rancher 允许网络上的攻击者读取和更改网络数据，原因是当从 CNI 值被覆盖的 RKE 模板创建集群时，通过网络传输的数据加密缺失，该问题影响。SUSE Rancher Rancher 2.5.14 之前的版本；Rancher 2.6.5 之前的版本。
CVE-2022-21952 SUSE Manager Server 4.1、SUSE Manager Server 4.2 的 spacewalk-java 中存在不受控制的资源消耗漏洞，允许远程攻击者轻松耗尽可用磁盘资源，导致 DoS。此问题会影响。SUSE Manager Server 4.1 spacewalk-java 在 4.1.46 之前的版本。SUSE Manager Server 4.2 spacewalk-java 版本在 4.2.37 之前。
CVE-2022-21954||Microsoft Edge（基于 Chromium）特权提升漏洞。该CVE ID与CVE-2022-21970是唯一的。
CVE-2022-21957||Microsoft Dynamics 365 (on-premises) Remote Code Execution 漏洞。
CVE-2022-21958||Windows Resilient File System (ReFS) 远程代码执行漏洞。该CVE ID与CVE-2022-21892, CVE-2022-21928, CVE-2022-21959, CVE-2022-21960, CVE-2022-21961, CVE-2022-21962, CVE-2022-21963是唯一的。
CVE-2022-21959||Windows弹性文件系统（ReFS）远程代码执行漏洞。该CVE ID与CVE-2022-21892、CVE-2022-21928、CVE-2022-21958、CVE-2022-21960、CVE-2022-21961、CVE-2022-21962、CVE-2022-21963是唯一的。
CVE-2022-2196||在KVM：nVMX内的Linux内核中存在一个回归，允许投机执行攻击。由于KVM（L0）向L1宣传eIBRS支持，L1认为运行L2后不需要retpolines或IBPB，因此L2可以对L1进行Spectre v2攻击。在L2有代码执行的攻击者可以在主机的间接分支上执行代码。我们建议升级到内核6.2或过去的提交2e7eab81425a
CVE-2022-21960||Windows弹性文件系统（ReFS）远程代码执行漏洞。该CVE ID与CVE-2022-21892, CVE-2022-21928, CVE-2022-21958, CVE-2022-21959, CVE-2022-21961, CVE-2022-21962, CVE-2022-21963是唯一的。
CVE-2022-21961||Windows弹性文件系统（ReFS）远程代码执行漏洞。该CVE ID与CVE-2022-21892, CVE-2022-21928, CVE-2022-21958, CVE-2022-21959, CVE-2022-21960, CVE-2022-21963是唯一的。
CVE-2022-21962||Windows弹性文件系统（ReFS）远程代码执行漏洞。该CVE ID与CVE-2022-21892, CVE-2022-21928, CVE-2022-21958, CVE-2022-21959, CVE-2022-21960, CVE-2022-21961, CVE-2022-21963是唯一的。
CVE-2022-21963||Windows弹性文件系统（ReFS）远程代码执行漏洞。该CVE ID与CVE-2022-21892, CVE-2022-21928, CVE-2022-21958, CVE-2022-21959, CVE-2022-21960, CVE-2022-21961, CVE-2022-21962是唯一的。
CVE-2022-21964||远程桌面许可诊断器信息泄露漏洞。
CVE-2022-21965||Microsoft Teams Denial of Service 漏洞。
CVE-2022-21967|Xbox Live Auth Manager for Windows权限提升漏洞。
CVE-2022-21968||Microsoft SharePoint Server Security Feature BypassVulnerability.
CVE-2022-21969||Microsoft Exchange Server 远程代码执行漏洞。该CVE ID与CVE-2022-21846、CVE-2022-21855是唯一的。
CVE-2022-2197||通过使用特定的凭证字符串，具有网络访问设备的Web界面的攻击者可以规避认证方案并执行管理操作。
CVE-2022-21970||Microsoft Edge (Chromium-based) Elevation of Privilege Vulnerability.这个CVE ID与CVE-2022-21954是唯一的。
CVE-2022-21971||Windows Runtime Remote Code Execution 漏洞。
CVE-2022-21972||点对点隧道协议远程代码执行漏洞。该CVE ID与CVE-2022-23270是唯一的。
CVE-2022-21973||Windows Media Center Update拒绝服务漏洞。
CVE-2022-21974||Roaming Security Rights Management Services 远程代码执行漏洞。
CVE-2022-21975||Windows Hyper-V拒绝服务漏洞。
CVE-2022-21977||Media Foundation Information Disclosure Vulnerability.该CVE ID与CVE-2022-22010是唯一的。
CVE-2022-21978||Microsoft Exchange Server 权限提升漏洞。
CVE-2022-21979||Microsoft Exchange Information Disclosure Vulnerability.这个CVE ID与CVE-2022-30134、CVE-2022-34692是唯一的。
CVE-2022-2198||5.7之前的WPQA Builder WordPress插件是Hilmer和Discy的配套插件，在显示私人信息前不检查授权，允许任何登录的用户使用信息ID阅读其他用户的私人信息，这很容易被暴力破解。
CVE-2022-21980||Microsoft Exchange Server特权提升漏洞。这个CVE ID与CVE-2022-24477、CVE-2022-24516是唯一的。
CVE-2022-21981||Windows 通用日志文件系统驱动程序权限提升漏洞。该CVE ID与CVE-2022-22000是唯一的。
CVE-2022-21983||Win32 Stream Enumeration 远程代码执行漏洞。此CVE ID与CVE-2022-24534是唯一的。
CVE-2022-21984||Windows DNS服务器远程代码执行漏洞。
CVE-2022-21985||Windows远程访问连接管理器信息泄露漏洞。
CVE-2022-21986||.NET拒绝服务漏洞。
CVE-2022-21987||Microsoft SharePoint Server Spoofing Vulnerability.
CVE-2022-21988||Microsoft Office Visio Remote Code Execution Vulnerability.
CVE-2022-21989||Windows Kernel Elevation of Privilege 漏洞。
CVE-2022-2199||MiCODUS MV720 GPS追踪器的主网络服务器存在反射式跨站脚本漏洞，可允许攻击者通过欺骗用户进行请求而获得控制权。
CVE-2022-21990||远程桌面客户端远程代码执行漏洞。该CVE ID与CVE-2022-23285是唯一的。
CVE-2022-21991||Visual Studio代码远程开发扩展远程代码执行漏洞。
CVE-2022-21992||Windows移动设备管理远程代码执行漏洞。
CVE-2022-21993||Windows Services for NFS ONCRPC XDR Driver Information Disclosure Vulnerability.
CVE-2022-21994||Windows DWM Core Library Elevation of Privilege 漏洞。
CVE-2022-21995||Windows Hyper-V 远程代码执行漏洞。
CVE-2022-21996||Win32k权限提升漏洞。
CVE-2022-21997||Windows Print Spooler权限提升漏洞。该CVE ID与CVE-2022-21999、CVE-2022-22717、CVE-2022-22718是唯一的。
CVE-2022-21998||Windows 通用日志文件系统驱动程序信息泄露漏洞。
CVE-2022-21999||Windows Print Spooler权限提升漏洞。该CVE ID与CVE-2022-21997、CVE-2022-22717、CVE-2022-22718是唯一的。
CVE-2022-2200|||如果对象原型被攻击者破坏，他们就能在JavaScript对象上设置不需要的属性，导致特权代码的执行。该漏洞影响到 Firefox < 102、Firefox ESR < 91.11、Thunderbird < 102 和 Thunderbird < 91.11。
CVE-2022-22000||Windows 通用日志文件系统驱动程序特权提升漏洞。该CVE ID与CVE-2022-21981是唯一的。
CVE-2022-22001||Windows 远程访问连接管理器特权提升漏洞。
CVE-2022-22002||Windows用户账户资料图片拒绝服务漏洞。
CVE-2022-22003||Microsoft Office Graphics Remote Code Execution Vulnerability.
CVE-2022-22004||Microsoft Office ClickToRun 远程代码执行漏洞。
CVE-2022-22005||Microsoft SharePoint Server 远程代码执行漏洞。
CVE-2022-22006||HEVC视频扩展远程代码执行漏洞。该CVE ID与CVE-2022-22007、CVE-2022-23301、CVE-2022-24452、CVE-2022-24453、CVE-2022-24456是唯一的。
CVE-2022-22007||HEVC视频扩展远程代码执行漏洞。该CVE ID与CVE-2022-22006、CVE-2022-23301、CVE-2022-24452、CVE-2022-24453、CVE-2022-24456是唯一的。
CVE-2022-22008||Windows Hyper-V远程代码执行漏洞。此CVE ID与CVE-2022-22009, CVE-2022-23257, CVE-2022-24537是唯一的。
CVE-2022-22009||Windows Hyper-V远程代码执行漏洞。该CVE ID与CVE-2022-22008, CVE-2022-23257, CVE-2022-24537是唯一的。
CVE-2022-22010||媒体基金会信息披露漏洞。该CVE ID与CVE-2022-21977是唯一的。
CVE-2022-22011||Windows图形组件信息泄露漏洞。该CVE ID与CVE-2022-26934、CVE-2022-29112相同。
CVE-2022-22012||Windows LDAP 远程代码执行漏洞。该CVE ID在CVE-2022-22013, CVE-2022-22014, CVE-2022-29128, CVE-2022-29129, CVE-2022-29130, CVE-2022-29131, CVE-2022-29137, CVE-2022-29139, CVE-2022-29141中唯一。
CVE-2022-22013||Windows LDAP远程代码执行漏洞。该CVE ID与CVE-2022-22012, CVE-2022-22014, CVE-2022-29128, CVE-2022-29129, CVE-2022-29130, CVE-2022-29131, CVE-2022-29137, CVE-2022-29139, CVE-2022-29141是独一无二的。
CVE-2022-22014||Windows LDAP远程代码执行漏洞。该CVE ID与CVE-2022-22012, CVE-2022-22013, CVE-2022-29128, CVE-2022-29129, CVE-2022-29130, CVE-2022-29131, CVE-2022-29137, CVE-2022-29139, CVE-2022-29141是独一无二的。
CVE-2022-22015||Windows远程桌面协议（RDP）信息泄露漏洞。
CVE-2022-22016||Windows PlayToManager 特权提升漏洞。
CVE-2022-22017||远程桌面客户端远程代码执行漏洞。
CVE-2022-22018||HEVC视频扩展远程代码执行漏洞。此CVE ID与CVE-2022-29111, CVE-2022-29119, CVE-2022-30188是唯一的。
CVE-2022-22019||远程过程调用运行时远程代码执行漏洞。
CVE-2022-22021||Microsoft Edge (Chromium-based) Remote Code Execution Vulnerability.
CVE-2022-22022||Windows Print Spooler 权限提升漏洞。该CVE ID与CVE-2022-22041, CVE-2022-30206, CVE-2022-30226是唯一的。
CVE-2022-22023||Windows Portable Device Enumerator Service Security Feature Bypass 漏洞。
CVE-2022-22024||Windows传真服务远程代码执行漏洞。此CVE ID与CVE-2022-22027是唯一的。
CVE-2022-22025||Windows Internet Information Services Cachuri Module Denial of Service 漏洞。
CVE-2022-22026||Windows CSRSS权限提升漏洞。此CVE ID与CVE-2022-22047, CVE-2022-22049是唯一的。
CVE-2022-22027||Windows传真服务远程代码执行漏洞。此CVE ID与CVE-2022-22024是唯一的。
CVE-2022-22028||Windows网络文件系统信息泄露漏洞。
CVE-2022-22029||Windows 网络文件系统远程代码执行漏洞。该CVE ID与CVE-2022-22039是唯一的。
CVE-2022-22031||Windows Credential Guard Domain-joined Public Key Elevation of Privilege 漏洞。
CVE-2022-22034||Windows图形组件的权限提升漏洞。
CVE-2022-22035||Windows点对点隧道协议远程代码执行漏洞。该CVE ID与CVE-2022-24504、CVE-2022-30198、CVE-2022-33634、CVE-2022-38000、CVE-2022-38047、CVE-2022-41081是唯一的。
CVE-2022-22036||Performance Counters for Windows Elevation of Privilege 漏洞。
CVE-2022-22037||Windows高级本地程序调用权限提升漏洞。该CVE ID与CVE-2022-30202、CVE-2022-30224是唯一的。
CVE-2022-22038||远程过程调用运行时远程代码执行漏洞。
CVE-2022-22039||Windows网络文件系统远程代码执行漏洞。此CVE ID与CVE-2022-22029是唯一的。
CVE-2022-22040||Internet Information Services Dynamic Compression Module Denial of Service 漏洞。
CVE-2022-22041||Windows Print Spooler特权提升漏洞。此CVE ID与CVE-2022-22022, CVE-2022-30206, CVE-2022-30226是唯一的。
CVE-2022-22042||Windows Hyper-V信息泄露漏洞。该CVE ID与CVE-2022-30223是唯一的。
CVE-2022-22043||Windows Fast FAT File System Driver Elevation of Privilege 漏洞。
CVE-2022-22045||Windows.Devices.Picker.dll 特权提升漏洞。
CVE-2022-22047||Windows CSRSS权限提升漏洞。这个CVE ID与CVE-2022-22026, CVE-2022-22049是唯一的。
CVE-2022-22048||BitLocker安全功能绕过漏洞。
CVE-2022-22049||Windows CSRSS权限提升漏洞。这个CVE ID与CVE-2022-22026, CVE-2022-22047是唯一的。
CVE-2022-22050||Windows传真服务权限提升漏洞。
CVE-2022-22054||华硕RT-AX56U的登录功能由于对URL参数中的特殊字符过滤不足，包含路径遍历漏洞，允许未经认证的局域网络攻击者访问受限的系统路径并下载任意文件。
CVE-2022-22055||乐妍口腔管理系统包含一个SQL注入漏洞。未认证的远程攻击者可以向登录页面的输入字段注入SQL命令，以获得管理员权限，并在系统上执行任意操作或破坏服务。
CVE-2022-22056||乐妍齿科管理系统在网页源代码中包含一个硬编码凭证漏洞，未认证的远程攻击者可以获得管理员权限并控制系统或破坏服务。
CVE-2022-22057||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Wearables中，由于在关闭栅栏文件描述符和销毁图形时间线时出现竞赛条件，导致在图形栅栏中使用自由后。
CVE-2022-22058||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer Electronics Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，由于内核在处理ION句柄时存在释放后使用问题，导致内存损坏。
CVE-2022-22059||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Industrial IOT、Snapdragon Mobile中解析视频文件时，由于越界读取导致内存损坏。
CVE-2022-2206||在8.2版之前的GitHub软件库vim/vim中发生越界读取。
CVE-2022-22061||在Snapdragon Compute、Snapdragon Connectivity、Snapdragon Mobile中，由于复制数据前的长度检查不当，在验证设备ID时可能出现界外写入。
CVE-2022-22062||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer Electronics Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon IoT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables、Snapdragon Wired Infrastructure and Networking中，解析服务器证书时可能发生越界读取。
CVE-2022-22063||由于启动重构器的配置不当，导致Core中的内存损坏。
CVE-2022-22064|由于Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer Electronics Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中在解包帧时缺乏大小验证，可能出现缓冲区过度读取。
CVE-2022-22065||在骁龙汽车、骁龙计算、骁龙连接、骁龙消费电子连接、骁龙消费物联网、骁龙工业物联网、骁龙移动、骁龙语音和音乐、骁龙可穿戴设备中，由于长度检查不当，WLAN HOST中的超界读取可能导致DOS。
CVE-2022-22066||由于Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中的长度检查不当，在处理从HLOS接收的命令时发生内存损坏。
CVE-2022-22067||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Mobile中，在处理带有无效无线电承载配置的NSA RRC重新配置过程中，调制解调器可能会出现内存泄漏。
CVE-2022-22068||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，内核事件可能包含非由NPU软件在异步执行模式下生成的意外内容。
CVE-2022-22069||关闭密钥保护的设备可能在RPMB中存储未加密的密钥箱，并导致骁龙汽车、骁龙计算、骁龙连接、骁龙工业物联网、骁龙移动、骁龙可穿戴设备中出现密码问题。
CVE-2022-2207||GitHub软件库中8.2版以前的vim/vim基于堆的缓冲区溢出。
CVE-2022-22070||由于Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中没有检查无效的路由地址进入APR路由表，导致音频的内存损坏。
CVE-2022-22071||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music中，当使用IOCTL munmap调用释放进程外壳内存且进程初始化正在进行时，可能在free后使用。
在Snapdragon Auto、Snapdragon Compute、Snapdragon Consumer Electronics Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music中，由于对NDP应用信息长度验证不当，可能发生缓冲区溢出。
CVE-2022-22074||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，由于整数溢出导致wma文件播放时出现内存损坏。
CVE-2022-22077||由于Snapdragon Mobile中的图形调度器逻辑出现免费使用后，导致图形的内存损坏。
CVE-2022-22078||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Wearables中，由于计算区块时发生整数溢出，在BOOT中请求分区大小时，拒绝服务。
CVE-2022-22079||由于缓冲区超读，在mmc上处理fastboot flash命令时出现拒绝服务。
CVE-2022-2208||在8.2.5163之前的GitHub存储库vim/vim中出现NULL指针解读。
CVE-2022-22080||在PCM路由过程中对后端ID的不正确验证可能导致骁龙汽车、骁龙计算、骁龙连接、骁龙消费物联网、骁龙工业物联网、骁龙移动、骁龙语音和音乐中的内存损坏。
CVE-2022-22081||在Snapdragon Auto、Snapdragon Connectivity、Snapdragon Mobile、Snapdragon Wearables中由于整数溢出导致音频模块内存损坏。
CVE-2022-22082||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，由于解析带有损坏的频道计数的DSF头时可能出现缓冲区溢出，导致内存损坏。
CVE-2022-22083由于Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中从片段中提取猿猴头时发生内存损坏而导致拒绝服务。
CVE-2022-22084||由于Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中缺乏对数据长度的检查，导致提取qcp音频文件时的内存损坏。
CVE-2022-22085||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，由于在读取dts文件时发生缓冲区溢出，导致视频的内存损坏。
CVE-2022-22086||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，由于解析带有无效元数据原子的3gp片段时出现双倍空闲，导致视频的内存损坏。
CVE-2022-22087||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Voice & Music、Snapdragon Wearables中，由于在解析没有编解码器的mkv片段时发生缓冲区溢出，导致视频的内存损坏。
CVE-2022-22088||由于在解析从远程收到的命令响应时发生缓冲区溢出，导致蓝牙HOST的内存损坏。
CVE-2022-22089||由于Snapdragon Connectivity、Snapdragon Mobile、Snapdragon Wearables中两个线程的列表处理不当，导致音频在播放录音时出现内存损坏。
CVE-2022-2209|||**拒绝 **不要使用这个候选号码。原因是。该CVE被拒绝，因为它被错误地分配了。该候选编号中的所有参考和描述都已被删除，以防止意外使用。
CVE-2022-22090||在Snapdragon Compute、Snapdragon Connectivity、Snapdragon Mobile中，由于在管理来自内部缓存的缓冲区时使用free后，导致音频中的内存损坏。
CVE-2022-22091||在Snapdragon Auto、Snapdragon Compute、Snapdragon Connectivity、Snapdragon Consumer IOT、Snapdragon Industrial IOT、Snapdragon Mobile、Snapdragon Wearables中，对重放的LTE安全模式命令的不当授权可能导致拒绝服务。
CVE-2022-22092||在Snapdragon Compute、Snapdragon Connectivity、Snapdragon Industrial IOT、Snapdragon Mobile中，由于释放后使用问题导致内核中的内存损坏。
CVE-2022-22093||在Snapdragon Compute、Snapdragon Connectivity、Snapdragon Industrial IOT、Snapdragon Mobile中，由于不正确处理管理程序从虚拟中断源附加或分离IRQ的并发操作，导致内存损坏或临时拒绝服务。
CVE-2022-22094||在Snapdragon Compute、Snapdragon Connectivity、Snapdragon Industrial IOT、Snapdragon Mobile中，由于在获取映射参考时出现竞赛条件，导致内核中的内存损坏。
CVE-2022-22095||在Snapdragon Compute、Snapdragon Connectivity、Snapdragon Industrial IOT、Snapdragon Mobile中，由于synx驱动程序在未获得锁的情况下访问对象句柄，导致内存损坏。
CVE-2022-22096||在Snapdragon Connectivity、Snapdragon Mobile中，当使用命令长度参数提取数据时，由于基于堆栈的缓冲区溢出，导致蓝牙HOST的内存损坏。
CVE-2022-22097||在Snapdragon消费者物联网中，由于在向驱动程序调用多线程应用程序时使用了free后的内存损坏。
CVE-2022-22098||在Snapdragon Auto中，由于从套接字中读取数据时存在不受信任的指针解除引用，导致多媒体驱动程序的内存损坏。
CVE-2022-22099|由于Snapdragon Auto中对数组索引的验证不当，导致多媒体中的内存损坏。
CVE-2022-2210||8.2之前的GitHub软件库vim/vim中的越界写入。
CVE-2022-22100||由于Snapdragon Auto中对收到的导出描述符的检查不当，导致多媒体中的内存损坏。
CVE-2022-22101||由于Snapdragon Auto中解析传入的HAB消息时资源消耗不受控制，导致多媒体中的拒绝服务。
CVE-2022-22102||在 "Snapdragon Auto "中，由于添加数据时类型转换不正确，导致多媒体中的内存损坏。
CVE-2022-22103||在 "Snapdragon Auto "中，由于在处理来自用户的数据时出现双倍空闲，导致多媒体驱动程序的内存损坏。
CVE-2022-22104||在 "骁龙汽车 "中，由于对收到的信息检查不当，导致多媒体中的内存损坏。
CVE-2022-22105||在Snapdragon Auto、Snapdragon Consumer IOT、Snapdragon Mobile、Snapdragon Voice & Music中，由于在处理HFP-UNIT配置文件时发生整数溢出，导致蓝牙的内存损坏。
CVE-2022-22106||在Snapdragon Auto中，由于复制数据时长度检查不当，导致多媒体中的内存损坏。
CVE-2022-22107||在Daybyday CRM中，2.0.0至2.2.0版本存在 "授权缺失 "漏洞。一个拥有最低权限账户（雇员类型用户）的攻击者，可以查看系统中所有用户的约会，包括管理员。然而，这种类型的用户根本就没有被授权查看日历。
CVE-2022-22108||在Daybyday CRM中，2.0.0至2.2.0版本有缺失授权的漏洞。一个拥有最低权限账户（雇员类型用户）的攻击者，可以查看系统中所有用户的缺勤情况，包括管理员。这种类型的用户没有被授权查看这类信息。
CVE-2022-22109||在Daybyday CRM中，2.2.0版存在存储跨站脚本（XSS）漏洞，允许低权限的应用程序用户在新任务的标题栏中存储恶意脚本。当受害者打开"/tasks "页面查看所有任务时，这些脚本会在受害者的浏览器中执行。
CVE-2022-2211||libguestfs中发现一个漏洞。该问题发生在get_keys()函数中计算最大可能数量的匹配键时。该漏洞导致拒绝服务，可由错误或恶意行为者造成。
CVE-2022-22110||在Daybyday CRM中，1.1至2.2.0版本在用户更新功能中执行弱密码要求。拥有更新密码权限的用户可以将其改为弱密码，如长度为一个字符的密码。这可能允许攻击者以最小甚至没有计算工作量的方式暴力破解用户的密码。
CVE-2022-22111||在DayByDay CRM的2.2.0版本中，存在缺失授权的漏洞。该应用程序中任何启用了更新用户权限的应用程序用户都能够更改其他用户的密码，包括管理员的密码。这使得攻击者可以获得应用程序中最高权限用户的访问权。
CVE-2022-22112||在DayByDay CRM中，1.1至2.2.1（最新）版本存在应用范围的客户端模板注入（CSTI）。低权限攻击者可以在应用程序的不同位置输入模板注入有效载荷，在客户端浏览器上执行JavaScript。
CVE-2022-22113||在DayByDay CRM中，2.2.0至2.2.1（最新）版本存在会话过期不充分的问题。当用户或管理员更改密码后，已经登录的用户仍可访问应用程序，即使密码已被更改。
CVE-2022-22114||在Teedy中，v1.5至v1.9版本存在反射式跨站脚本（XSS）漏洞。在显示搜索结果时，"搜索词 "搜索功能没有得到充分的净化，这可以被用来注入任意脚本。当受害者进入精心设计的URL时，这些脚本会在受害者的浏览器中执行。在最坏的情况下，无意中触发攻击的受害者是一个拥有高度特权的管理员。被注入的脚本可以提取会话ID，这可能导致未经认证的攻击者完全接管管理员的账户。
CVE-2022-22115||在Teedy中，v1.5至v1.9版本在创建标签的名称中存在存储跨站脚本（XSS）的漏洞。由于在编辑标签的页面中，标签的名称没有被正确处理，低权限的攻击者可以在标签的名称中存储恶意的脚本。在最坏的情况下，无意中触发攻击的受害者是一个高权限的管理员。被注入的脚本可以提取会话ID，这可能导致管理员的完全账户接管，以及权限升级。
CVE-2022-22116||在Directus中，9.0.0-alpha.4至9.4.1版本存在通过媒体上传功能中的SVG文件上传存储跨站脚本（XSS）漏洞。低权限的攻击者可以注入任意的javascript代码，当受害者打开图片URL时，这些代码将在受害者的浏览器中执行。
CVE-2022-22117||在Directus中，9.0.0-alpha.4到9.4.1版本允许在媒体上传功能中不受限制地上传.html文件，这导致了跨站脚本漏洞。低权限攻击者可以上传一个精心制作的HTML文件作为个人资料头像，当管理员或其他用户打开它时，XSS有效载荷被触发。
CVE-2022-2212 在 SourceCodester Library Management System 1.0 中发现一个漏洞。它已被归类为关键。受影响的是组件/card/index.php的一个未知功能。对参数图像的操作导致不受限制的上传。有可能远程发起攻击。该漏洞已向公众披露，并可能被使用。
