CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-22411||华为部分产品存在越界写入漏洞。一个模块的代码有一个不好的判断逻辑。攻击者可以通过执行多个异常活动来触发不良逻辑并导致越界写入，从而利用该漏洞。这可能会损害模块的正常服务。受影响的产品版本包括。NGFW模块版本V500R005C00SPC100,V500R005C00SPC200;Secospace USG6300版本V500R001C30SPC200,V500R001C30SPC600,V500R001C60SPC500，V500R005C00SPC100，V500R005C00SPC200。Secospace USG6500 versions V500R001C30SPC200,V500R001C30SPC600,V500R001C60SPC500,V500R005C00SPC100,V500R005C00SPC200;Secospace USG6600 versions V500R001C30SPC200,V500R001C30SPC600,V500R001C60SPC500,V500R005C00SPC100,V500R005C00SPC200;USG9500 versions V500R001C60SPC500,V500R005C00SPC100,V500R005C00SPC200.
CVE-2021-22412||华为智能手机存在整数溢出漏洞。成功利用该漏洞可能导致随机内核地址访问。
CVE-2021-22413||华为智能手机中存在整数溢出漏洞。成功利用此漏洞可能导致系统重置。
CVE-2021-22414||华为智能手机中存在内存缓冲区错误漏洞。成功利用该漏洞可能导致系统重置。
CVE-2021-22415||华为智能手机中存在缓冲区大小计算不正确的漏洞。成功利用此漏洞可能导致代码的内核异常。
CVE-2021-22416||HarmonyOS的一个组件存在数据处理错误的漏洞。本地攻击者可利用此漏洞导致内核代码执行。
CVE-2021-22417||HarmonyOS的一个组件存在数据处理错误的漏洞。本地攻击者可利用此漏洞导致内核内存泄漏。
CVE-2021-22418||HarmonyOS的一个组件存在整数溢出或环绕漏洞。本地攻击者可利用此漏洞导致内存覆盖。
CVE-2021-22419||HarmonyOS的一个组件存在数据真实性验证不充分的漏洞。本地攻击者可利用此漏洞导致持续的dos。
CVE-2021-2242||Oracle Fusion Middleware的Oracle Outside In Technology产品（组件：Outside In Filters）中存在漏洞。受影响的支持版本为8.5.5。容易被利用的漏洞允许未经认证的攻击者通过HTTP的网络访问来破坏Oracle Outside In Technology。对该漏洞的成功攻击可导致对关键数据或所有Oracle Outside In Technology可访问数据的未授权创建、删除或修改访问，以及对Oracle Outside In Technology可访问数据子集的未授权读取访问。注：Outside In Technology是一套软件开发工具包（SDK）。协议和CVSS基本得分取决于使用Outside In Technology的软件。CVSS评分假定软件将通过网络收到的数据直接传递给Outside In Technology，但如果没有通过网络收到数据，CVSS评分可能会更低。CVSS 3.1基础得分8.2（保密性和完整性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:N）。
CVE-2021-22420|| HarmonyOS的一个组件存在系统或配置设置的外部控制漏洞。本地攻击者可利用此漏洞导致应用程序信任列表机制的底层信任缺失。
CVE-2021-22421||HarmonyOS的一个组件存在不当的权限管理漏洞。本地攻击者可利用此漏洞导致进一步的权限提升。
CVE-2021-224|| HarmonyOS的一个组件存在整数溢出或环绕漏洞。本地攻擊者可利用此漏洞導致記憶體覆寫。
CVE-2021-22423||HarmonyOS的一个组件存在越界写入漏洞。本地攻击者可利用此漏洞导致整数溢出。
CVE-2021-22424|| HarmonyOS的一个组件存在内核内存泄漏漏洞。本地攻击者可利用此漏洞导致内核拒绝服务。
CVE-2021-22425||HarmonyOS的一个组件存在双自由漏洞。本地攻擊者可利用此漏洞，導致根部提升權限。
CVE-2021-22426||智能手机中存在内存地址越界。成功利用此漏洞可能导致恶意代码被执行。
CVE-2021-22427||在华为智能手机中存在一个基于堆的缓冲区溢出漏洞。成功利用此漏洞可能导致认证绕过。
CVE-2021-22428||华为智能手机中存在不完全清理漏洞。成功利用此漏洞可能导致认证绕过。
CVE-2021-22429||在智能手机中存在内存地址越界。成功利用此漏洞可能导致恶意代码被执行。
CVE-2021-22430||在智能手机中存在逻辑绕过漏洞。成功利用此漏洞可能导致代码注入。
CVE-2021-22431||在智能手机中配置权限隔离时存在一个漏洞。成功利用此漏洞可能导致越界访问。
CVE-2021-22432||在智能手机中配置权限隔离时存在漏洞。成功利用该漏洞可能导致越界访问。
CVE-2021-22433||在智能手机中存在内存地址越界的问题。成功利用此漏洞可能导致恶意代码被执行。
CVE-2021-22434||在智能手机中存在内存地址越界的漏洞。成功利用此漏洞可能导致恶意代码被执行。
CVE-2021-22435||华为智能手机中存在配置缺陷漏洞。成功利用此漏洞可能会影响服务的完整性和可用性。
CVE-2021-22436||华为智能手机中存在逻辑绕过漏洞。成功利用该漏洞可能会影响服务的完整性和可用性。
CVE-2021-22437||在智能手机中存在软件整数溢出，导致TOCTOU条件。成功利用此漏洞可能导致随机地址访问。
CVE-2021-22438||在华为智能手机中存在内存缓冲区不当操作限制漏洞。成功利用此漏洞可能导致恶意代码被执行。
CVE-2021-22439||华为AnyOffice V200R006C10中存在一个反序列化漏洞。攻击者可以构造一个特定的请求来利用这个漏洞。成功利用此漏洞，攻击者可以执行远程恶意代码注入并控制设备。
CVE-2021-2244||在Oracle Hyperion的Hyperion Analytic Provider Services产品（组件：JAPI）和Oracle Essbase的Essbase Analytic Provider Services产品（组件：JAPI）存在漏洞。受影响的支持版本是Hyperion Analytic Provider Services 11.1.2.4和12.2.1.4，以及Essbase Analytic Provider Services 21.2。容易被利用的漏洞允许未经认证的攻击者通过HTTP的网络访问来破坏Hyperion Analytic Provider Services。成功的攻击需要攻击者以外的人的互动，虽然该漏洞是在Hyperion Analytic Provider Services中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对Hyperion Analytic Provider Services的接管。CVSS 3.1基础得分10.0（保密性、完整性和可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H)。
CVE-2021-22440||华为部分产品存在路径遍历漏洞。该漏洞是由于软件使用外部输入构建路径名，旨在识别位于受限父目录下的文件或目录，但软件没有正确验证该路径名。成功利用该漏洞可使攻击者通过精心设计的文件名访问位于受限目录之外的位置。受影响的产品版本包括：HUAWEI Mate 20 9.0.0.195(C01E195R2P1), 9.1.0.139(C00E133R3P1); HUAWEI Mate 20 Pro 9.0.0.187(C432E10R1P16), 9.0.0.188(C185E10R2P1), 9.0.0.245(C10E10R2P1), 9.0.0.266(C432E10R1P16), 9.0.0.267(C636E10R2P1), 9。0.0.268(C635E12R1P16), 9.0.0.278(C185E10R2P1); Hima-L29C 9.0.0.105(C10E9R1P16), 9.0.0.105(C185E9R1P16), 9.105(C636E9R1P16); Laya-AL00EP 9.1.0.139(C786E133R3P1); OxfordS-AN00A 10.1.0.223(C00E210R5P1); Tony-AL00B 9.1.0.257(C00E222R2P1) 。
CVE-2021-22441||部分华为产品存在整数溢出漏洞。成功利用该漏洞可能导致内核崩溃。
CVE-2021-22442||华为智能手机存在完整性检查值验证不当的漏洞。成功利用该漏洞可能导致系统重置。
CVE-2021-22443||华为智能手机中存在输入验证漏洞。成功利用此漏洞可能导致随机地址访问。
CVE-2021-22444||华为智能手机存在输入验证漏洞。成功利用此漏洞可能导致代码注入。
CVE-2021-22445||华为智能手机存在输入验证漏洞。成功利用该漏洞可能导致系统重置。
CVE-2021-22446||华为智能手机存在信息泄露漏洞。成功利用该漏洞可能导致系统重置。
CVE-2021-22447||华为智能手机存在不正常或异常情况检查漏洞。成功利用此漏洞可能导致系统重置。
CVE-2021-22448||在智能手机中存在一个不适当的验证漏洞。成功利用此漏洞可能导致未经授权读写一些文件。
CVE-2021-22449||Elf-G10HN 1.0.0.608中存在一个逻辑漏洞。未认证的攻击者可通过特定操作来利用该漏洞。由于安全设计不足，成功利用该漏洞可使攻击者在目标设备中不经提示就添加用户为好友。
CVE-2021-2245||Oracle数据库服务器的Oracle数据库-企业版统一审计组件中的漏洞。受影响的支持版本是18c和19c。容易被利用的漏洞允许拥有创建审计策略权限的高权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle数据库-企业版统一审计。对该漏洞的成功攻击可导致对某些Oracle数据库-企业版统一审计可访问数据的未授权更新、插入或删除访问。CVSS 3.1基础得分2.7（完整性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:N）。
CVE-2021-22450|| HarmonyOS的一个组件存在不完全清理漏洞。本地攻击者可利用此漏洞导致内存耗尽。
CVE-2021-22451||HarmonyOS的一个组件存在整数溢出或环绕漏洞。本地攻击者可利用此漏洞导致内存被覆盖。
CVE-2021-22452||HarmonyOS的一个组件存在输入验证不当的漏洞。本地攻击者可利用此漏洞在任何地址进行读取。
CVE-2021-22453||HarmonyOS的一个组件存在不当输入验证漏洞。本地攻击者可利用此漏洞导致附近进程崩溃。
CVE-2021-22454||HarmonyOS的一个组件存在系统或配置设置的外部控制漏洞。本地攻击者可利用此漏洞导致核心转储。
CVE-2021-22455||HarmonyOS的一个组件存在整数溢出或环绕漏洞。本地攻擊者可利用此漏洞，導致記憶體未被釋放。
CVE-2021-22456||HarmonyOS的一个组件存在数据处理错误的漏洞。本地攻擊者可利用此漏洞，導致核心系統不可用。
CVE-2021-22457||HarmonyOS的一个组件存在输入验证不当的漏洞。本地攻擊者可利用此漏洞，導致越界寫入。
CVE-2021-22458|| HarmonyOS的一个组件存在内存缓冲区范围内操作限制不当的漏洞。本地攻击者可利用此漏洞导致任意代码执行。
CVE-2021-22459|| HarmonyOS的一个组件存在NULL指针解读漏洞。本地攻击者可利用此漏洞，导致系统功能不可用。
CVE-2021-2246||Oracle电子商务套件的Oracle通用工作队列产品中存在漏洞（组件：工作提供者站点级别管理）。受影响的支持版本为12.1.1-12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTP来破坏Oracle Universal Work Queue。对该漏洞的成功攻击可导致对关键数据或所有Oracle Universal Work Queue可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Universal Work Queue可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22460|||HarmonyOS的一个组件存在数据真实性验证不足的漏洞。本地攻击者可利用此漏洞绕过控制机制。
CVE-2021-22461||HarmonyOS的一个组件存在无限制的资源分配或节流漏洞。本地攻击者可利用此漏洞导致附近进程崩溃。
CVE-2021-22462|| HarmonyOS的一个组件存在NULL指针解读漏洞。本地攻击者可利用此漏洞导致内核崩溃。
CVE-2021-22463||HarmonyOS的一个组件存在释放后使用漏洞。本地攻击者可利用此漏洞导致内核信息泄露。
CVE-2021-22464||HarmonyOS的一个组件存在越界读取漏洞。本地攻击者可利用此漏洞导致系统软重启。
CVE-2021-22465||HarmonyOS的一个组件存在一个基于堆的缓冲区溢出漏洞。本地攻击者可利用此漏洞导致内核系统不可用。
CVE-2021-22466||HarmonyOS的一个组件存在释放后使用漏洞。本地攻击者可利用此漏洞导致内核崩溃。
CVE-2021-22467||HarmonyOS的一个组件存在输入验证不当的漏洞。本地攻击者可利用此漏洞在任何地址进行读取。
CVE-2021-22468||HarmonyOS的一个组件存在敏感信息暴露给未经授权的行为者的漏洞。本地攻击者可利用该漏洞导致内核地址泄漏。
CVE-2021-22469|| HarmonyOS的一个组件存在越界读取漏洞。本地攻击者可利用此漏洞导致内核越界读取。
CVE-2021-2247||Oracle电子商务套件的Oracle高级集合产品（组件：Admin）中存在漏洞。受影响的支持版本为 12.1.1-12.1.3 和 12.2.3-12.2.10。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP来破坏Oracle高级收藏。成功攻击该漏洞可导致未经授权创建、删除或修改访问关键数据或所有Oracle Advanced Collections可访问的数据，以及未经授权访问关键数据或完全访问所有Oracle Advanced Collections可访问的数据。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22470|||HarmonyOS的一个组件存在特权控制漏洞。本地攻击者可利用此漏洞扩展录音信任域。
CVE-2021-22471||HarmonyOS的一个组件存在NULL指针解读漏洞。本地攻击者可利用此漏洞导致附近进程崩溃。
CVE-2021-22472||华为智能手机存在不当验证漏洞。成功利用该漏洞可能影响服务的保密性。
CVE-2021-22473||华为智能手机存在验证漏洞。成功利用此漏洞可能会影响服务的保密性。
CVE-2021-22474||在华为智能手机中存在越界内存访问。成功利用此漏洞可能会导致进程异常。
CVE-2021-22475||华为智能手机中存在不当权限管理漏洞。成功利用此漏洞可能会影响服务的保密性。
CVE-2021-22478||某个HarmonyOS模块的接口存在UAF漏洞。成功利用此漏洞可能导致信息泄露。
CVE-2021-22479||某个HarmonyOS模块的接口存在无效地址访问漏洞。成功利用此漏洞可能导致内核崩溃。
CVE-2021-2248||Oracle虚拟化的Oracle安全全球桌面产品（组件：服务器）中存在漏洞。受影响的支持版本为5.6。容易被利用的漏洞允许未认证的攻击者通过多种协议进行网络访问，从而破坏了Oracle Secure Global Desktop。虽然该漏洞存在于Oracle Secure Global Desktop中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可导致对Oracle Secure Global Desktop的接管。
CVE-2021-22480||某个HarmonyOS模块的接口存在整数溢出漏洞。成功利用此漏洞可能导致堆内存溢出。
CVE-2021-22481||华为智能手机存在验证错误漏洞。成功利用此漏洞可能影响服务保密性。
CVE-2021-22482||在华为智能手机中存在一个未初始化的变量漏洞。成功利用此漏洞可能会导致传输无效数据。
CVE-2021-22483||在华为智能手机中存在IP地址欺骗问题。成功利用该漏洞可能导致DoS。
CVE-2021-22485||华为设备中的Wi-Fi网络连接存在SSID漏洞，成功利用该漏洞可能会影响服务的保密性。
CVE-2021-22486||在华为智能手机中存在一个不规范的字段名问题。成功利用该漏洞可能会影响服务的保密性。
CVE-2021-22487||华为智能手机中存在越界读取漏洞。成功利用此漏洞可能会影响服务的可用性。
CVE-2021-22488||华为智能手机存在未经授权的文件访问漏洞。通过修改软链接成功利用该漏洞可能会篡改从备份恢复的文件。
CVE-2021-22489||在智能手机中存在一个DoS漏洞。成功利用该漏洞可能会影响服务的可用性。
CVE-2021-2249||Oracle电子商务套件的Oracle落地成本管理产品（组件：装运工作台）中存在漏洞。受影响的支持版本为12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许低权限的攻击者通过HTTP的网络访问来破坏Oracle Landed Cost Management。对该漏洞的成功攻击可导致对关键数据或所有Oracle Landed Cost Management可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Landed Cost Management可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22490||华为智能手机中存在一个权限验证漏洞。成功利用该漏洞可能会影响设备性能。
CVE-2021-22491||华为智能手机中存在输入验证漏洞。成功利用该漏洞可能会影响服务的可用性。
CVE-2021-22492||在使用O(8.x)、P(9.0)和Q(10.0)（Broadcom蓝牙芯片组）软件的三星移动设备上发现一个问题。蓝牙UART驱动程序存在缓冲区溢出。三星ID为SVE-2020-18731（2021年1月）。
cve-2021-22493||**拒绝 **不要使用这个候选号码。咨询ID。CVE-2021-25346。原因是。该候选人是CVE-2021-25346的重复。注意：所有CVE用户都应该参考CVE-2021-25346。所有CVE用户都应该参考CVE-2021-25346，而不是这个候选项目。为防止误用，该候选文件中的所有引用和描述都已被删除。
CVE-2021-22494||三星Note20移动设备上的指纹扫描仪发现一个问题，该设备采用Q(10.0)软件。当使用屏幕保护膜时，所需的图像补偿不存在。因此，在指纹注册过程中可能会发生反转，并可能出现高错误识别率（FRR）。三星的ID是SVE-2020-19216（2021年1月）。
CVE-2021-22495||在装有O(8.x)、P(9.0)、Q(10.0)和R(11.0)（Exynos芯片组）软件的三星移动设备上发现一个问题。马里GPU驱动程序允许越界访问和设备重置。三星的ID是SVE-2020-19174（2021年1月）。
CVE-2021-22496||Micro Focus Access Manager产品中的认证绕过漏洞，影响到4.5.3.3版本之前的所有版本。该漏洞可能导致信息泄露。
CVE-2021-22497||6.3 SP4之前的Advanced Authentication版本由于会话管理不当问题，有可能导致认证中断。
CVE-2021-22498||Micro Focus Application Lifecycle Management (Eviously known as Quality Center) product中的XML外部实体注入漏洞。该漏洞影响12.x、12.60补丁5和更早版本、15.0.1补丁2和更早版本以及15.5版本。漏洞可被利用以允许XML外部实体注入。
CVE-2021-22499在Micro Focus Application Performance Management產品中存在持續的跨網站指令碼漏洞，影響版本9.40、9.50及9.51。该漏洞可能允许持续的XSS攻击。
CVE-2021-2250||Oracle 虚拟化的 Oracle VM VirtualBox 产品中的漏洞（组件：Core）。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许高权限的攻击者登录到Oracle VM VirtualBox执行的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可导致对Oracle VM VirtualBox的接管。CVSS 3.1基础得分8.2（保密性、完整性和可用性影响）。CVSS向量：（CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H）。
CVE-2021-225||在Micro Focus应用性能管理产品中存在跨网站请求伪造漏洞，影响9.40、9.50和9.51版本。攻擊者可利用漏洞，誘使用戶執行攻擊者選擇的行動。
CVE-2021-22502||远程代码执行漏洞在Micro Focus Operation Bridge Reporter (OBR)产品，影响版本10.40。攻擊者可利用漏洞，在OBR伺服器上進行遠程代碼執行。
CVE-2021-22504||Micro Focus Operations Bridge Manager产品存在任意代码执行漏洞，影响版本10.1x、10.6x、2018.05、2018.11、2019.05、2019.11、2020.05、2020.10。该漏洞可能允许远程攻击者在OBM服务器上执行任意代码。
CVE-2021-22505||Micro Focus Operations Agent中的权限升级漏洞，影响12.0x、12.10、12.11、12.12、12.14和12.15版本。该漏洞可被利用来提升权限并在运营代理的账户下执行代码。
CVE-2021-22506||Advance configuration exposing Information Leakage vulnerability in Micro Focus Access Manager product, impacts all versions prior to version 5.0.该漏洞可能导致信息泄露。
CVE-2021-22507||Micro Focus Operations Bridge Manager中的Authentication bypass漏洞，影响2019.05、2019.11、2020.05和2020.10版本。该漏洞可能允许远程攻击者绕过用户认证，获得未经授权的访问。
CVE-2021-2251||Oracle电子商务套件的Oracle CRM技术基础产品（组件：数据源）中存在漏洞。受影响的支持版本是12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP入侵Oracle CRM Technical Foundation。对该漏洞的成功攻击可导致对关键数据或所有Oracle CRM技术基金会可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle CRM技术基金会可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22510||在Micro Focus Application Automation Tools Plugin - Jenkins插件中存在反射性XSS漏洞。该漏洞影响到所有6.7版和更早的版本。
CVE-2021-22511||Micro Focus Application Automation Tools Plugin - Jenkins plugin中的不正确的证书验证漏洞。该漏洞影响6.7版及以前版本。该漏洞可能允许无条件地禁用SSL/TLS证书。
CVE-2021-22512||Cross-Site Request Forgery (CSRF) vulnerability in Micro Focus Application Automation Tools Plugin - Jenkins plugin.该漏洞影响6.7版和早期版本。该漏洞可能允许在没有权限检查的情况下进行表单验证。
CVE-2021-22513||Micro Focus Application Automation Tools Plugin - Jenkins plugin中的Missing Authorization漏洞。该漏洞影响6.7版和早期版本。该漏洞可能允许未经权限检查的访问。
CVE-2021-22514||Micro Focus Application Performance Management中存在任意代码执行漏洞，影响9.40、9.50和9.51版本。该漏洞可使远程攻击者在受影响的 APM 安装中执行任意代码。
CVE-2021-22515||多因素认证（MFA）功能可被绕过，允许在NetIQ高级认证6.3 SP4补丁1之前的版本中使用单因素认证。
CVE-2021-22516||Micro Focus Secure API Manager (SAPIM)产品中存在将敏感信息插入日志文件的漏洞，影响2.0.0版本。 该漏洞可能导致敏感信息出现在日志文件中。
CVE-2021-22517||在Micro Focus Data Protector中发现一个潜在的未经授权的权限升级漏洞。该漏洞影响到10.10、10.20、10.30、10.40、10.50、10.60、10.70、10.80、10.0和10.91版本。有特权的用户可能会滥用这一功能，从而允许对数据进行非预期和未经授权的访问。
CVE-2021-22519||执行任意代码漏洞在Micro Focus SiteScope产品中，影响版本11.40,11.41 , 2018.05(11.50), 2018.08(11.51), 2018.11(11.60), 2019.02(11.70), 2019.05(11.80), 2019.08(11.90) , 2019.11(11.91) , 2020.05(11.92) , 2020.10(11.93) 。该漏洞可能允许远程攻击者在受影响的SiteScope安装中执行任意代码。
CVE-2021-2252||在Oracle电子商务套件的Oracle贷款产品中存在漏洞（组件：贷款细节，贷款会计事件）。受影响的支持版本是12.1.1-12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTP来破坏Oracle贷款产品。对该漏洞的成功攻击可导致对关键数据或所有Oracle Loans可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Loans可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22521||在Micro Focus ZENworks Configuration Management中发现一个特权升级漏洞，影响2020 Update 1版本和所有先前版本。该漏洞可被利用以获得未经授权的系统权限。
CVE-2021-22522||在Micro Focus Verastream Host Integrator中发现跨网站脚本漏洞，影响版本7.8 Update 1和早期版本。该漏洞可能导致机密数据的泄露。
CVE-2021-22523||XML External Entity vulnerability in Micro Focus Verastream Host Integrator, affecting version 7.8 Update 1 and earlier versions.该漏洞可能允许控制网络浏览器和劫持用户会话。
CVE-2021-22524 注入攻击导致NetIQ Access Manager在5.0.1和4.5.4之前存在拒绝服务漏洞。
CVE-2021-22525||该版本解决了5.0.1之前的NetIQ Access Manager版本中的潜在信息泄露漏洞。
CVE-2021-22526|5.0.1和4.5.4之前的NetIQ Access Manager中存在开放重定向漏洞
CVE-2021-22527|5.0.1和4.5.4之前的NetIQ Access Manager中的信息泄露漏洞
CVE-2021-22528||5.0.1和4.5.4之前的NetIQ Access Manager中存在的反射式跨站脚本（XSS）漏洞
CVE-2021-2253||Oracle供应链中的Oracle Advanced Supply Chain Planning产品（组件：Core）存在漏洞。受影响的支持版本是12.1和12.2。容易被利用的漏洞允许未经认证的攻击者通过HTTP的网络访问来破坏Oracle高级供应链计划。成功攻击该漏洞可导致对关键数据或所有Oracle Advanced Supply Chain Planning可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Advanced Supply Chain Planning可访问数据的完全访问。CVSS 3.1基础得分9.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22531||访问管理器的输入参数中存在一个错误，允许提供无效字符以触发跨网站脚本漏洞。这影响到NetIQ Access Manager 4.5和5.0。
CVE-2021-22535||Micro Focus Directory and Resource Administrator (DRA)产品上存在未经授权的信息安全泄露漏洞，影响10.1补丁1之前的所有DRA版本。该漏洞可能导致未经授权的信息泄露。
CVE-2021-22538||影响Google Exposure Notification Verification Server（0.23.1之前的版本）的特权升级漏洞，允许（1）拥有UserWrite权限的攻击者和（2）使用精心制作的请求或恶意代理，创建另一个具有比自己更高权限的用户。这是因为对允许的权限集检查不足而发生的。新用户创建事件将被捕获在事件日志中。
CVE-2021-22539||攻击者可以将精心制作的JSON配置文件放入项目文件夹，指向一个自定义的可执行文件。VScode-bazel允许通过该配置文件设置lint *.bzl文件的工作区路径。因此，攻击者能够通过vscode-bazel执行系统中的任何可执行文件。我们建议升级到0.4.1或以上版本。
CVE-2021-2254||Oracle电子商务套件的Oracle项目合同产品（组件：持有管理）存在漏洞。受影响的支持版本为12.1.1-12.1.3。容易被利用的漏洞允许低权限的攻击者通过HTTP的网络访问来破坏Oracle项目合同。成功攻击该漏洞可导致未经授权创建、删除或修改访问关键数据或所有Oracle项目合同可访问数据，以及未经授权访问关键数据或完全访问所有Oracle项目合同可访问数据。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22540||Dart SDK 2.12.3之前的版本中存在不良验证逻辑，允许攻击者通过DOM clobbering使用XSS攻击。dart:html中用于从文本创建DOM节点的验证逻辑在遇到模板标签时没有正确处理。
CVE-2021-22543||在Linux中发现一个问题。KVM中通过对VM_IO|VM_PFNMAP vmas的不当处理可以绕过RO检查，并可能导致页面被释放，而VMM和客户仍然可以访问。这使得有能力启动和控制虚拟机的用户可以读/写随机内存页，并可能导致本地权限升级。
CVE-2021-22545||攻击者可以制作一个特定的IdaPro *.i64文件，导致BinDiff插件加载一个无效的内存偏移。这可以让攻击者控制指令指针并执行任意代码。建议升级BinDiff 7
