CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-19232||*** DISPUTED **在1.8.29之前的Sudo中，拥有Runas ALL sudoer账户访问权的攻击者可以通过调用sudo的数字uid来冒充一个不存在的用户，而这个uid并不与任何用户相关。注意：软件维护者认为这不是一个漏洞，因为通过sudo以一个不存在于本地密码数据库中的用户身份运行命令是一个有意的功能。由于这种行为使一些用户感到惊讶，sudo 1.8.30引入了一个选项来启用/禁用这种行为，默认为禁用。然而，这并没有改变sudo在早期版本中的行为是有意的，并且是有记录的。
CVE-2019-19234||** DISPUTED ** 在1.8.29之前的Sudo中，不考虑用户已被封锁的事实（例如，通过在影子文件中使用！字符而不是密码哈希），允许攻击者（访问Runas ALL sudoer账户）冒充任何被封锁的用户。注意：软件维护者认为这个CVE是无效的。禁用一个用户的本地密码认证并不等同于禁用该用户的所有访问权限--该用户可能仍然能够通过其他方式（ssh密钥、kerberos等）登录。Linux的shadow(5)和passwd(1)手册对此都很清楚。事实上，有一些本地账户只能通过sudo访问，而且不能用密码登录，这是一个有效的用例。Sudo 1.8.30增加了一个可选的设置，根据/etc/shells的内容检查目标用户的_shell_（而不是加密的密码！），但这与防止访问具有无效密码哈希的用户不是一回事。
CVE-2019-19235||AsLdrSrv.exe在V1.0.0061之前的华硕ATK包（用于Windows 10笔记本电脑）可能导致无符号代码执行，没有额外的执行。用户必须将应用程序放在一个特定的路径上，并使用一个特定的文件名。
CVE-2019-1924||Cisco Webex Network Recording Player for Microsoft Windows和Cisco Webex Player for Microsoft Windows中的多个漏洞可能允许攻击者在受影响系统上执行任意代码。这些漏洞的存在是因为受影响的软件不适当地验证高级录音格式（ARF）和Webex录音格式（WRF）文件。攻击者可通过链接或电子邮件附件向用户发送恶意的ARF或WRF文件，并说服用户在本地系统上用受影响的软件打开该文件，从而利用这些漏洞。成功利用后，攻击者可以利用目标用户的权限在受影响系统上执行任意代码。
CVE-2019-19240||Embedthis GoAhead在5.0.1之前错误地处理了具有大型Host头的重定向HTTP请求。GoAhead WebsRedirect使用静态主机缓冲区，其长度有限，可能溢出。这可能导致主机头的复制失败，使该缓冲区未被初始化，这可能会在响应中泄露未初始化的数据。
CVE-2019-19241||在5.4.2之前的Linux内核中，io_uring功能导致请求无意中具有UID 0和完整能力，又称CID-181e448d8709。这与fs/io-wq.c、fs/io_uring.c和net/socket.c有关。例如，攻击者可以绕过在环回接口上添加IPv4地址的预定限制。这是因为IORING_OP_SENDMSG操作虽然是在非特权用户的上下文中请求的，但有时会由内核工作线程执行而不考虑该上下文。
CVE-2019-19242||SQLite 3.30.1错误处理了pExpr->y.pTab，expr.c中sqlite3ExprCodeTarget的TK_COLUMN情况表明了这一点。
CVE-2019-19244||sqlite3Select in select.c在SQLite 3.30.1中，如果子选择同时使用DISTINCT和window函数，并且还有某些ORDER BY用法，则允许崩溃。
CVE-2019-19245||NAPC Xinet Elegant 6 Asset Library 6.1.655允许在使用双引号时通过/elegant6/login LoginForm[username]字段进行预认证SQL注入。
CVE-2019-19246||Oniguruma通过6.9.3，用于PHP 7.3.x和其他产品，在regexec.c的str_lower_case_match中存在基于堆的缓冲区过度读取。
CVE-2019-19247||Electronic Arts Origin through 10.5.x允许特权提升（问题1 of 2）。
CVE-2019-19248||Electronic Arts Origin through 10.5.x允许权限提升（2期中的2期）。
CVE-2019-19249||Controllers/InvitationsController.cs in QueryTree before 3.0.99-beta误处理邀请。
CVE-2019-1925||Cisco Webex Network Recording Player for Microsoft Windows和Cisco Webex Player for Microsoft Windows中存在多个漏洞，可允许攻击者在受影响系统上执行任意代码。这些漏洞的存在是因为受影响的软件不适当地验证高级录音格式（ARF）和Webex录音格式（WRF）文件。攻击者可通过链接或电子邮件附件向用户发送恶意的ARF或WRF文件，并说服用户在本地系统上用受影响的软件打开该文件，从而利用这些漏洞。成功利用后，攻击者可在受影响系统上以目标用户的权限执行任意代码。
CVE-2019-19250||2019-11-23之前的OpenTrade允许SQL注入，与server/modules/api/v1.js和server/utils.js有关。
CVE-2019-19251||macOS上通过2.1.39的Last.fm桌面应用程序（Last.fm Scrobbler）在没有使用SSL/TLS的情况下发出包含API密钥的HTTP请求。虽然有一个启用SSL选项，但默认情况下是禁用的，应用程序一启动就会发出明文请求。
CVE-2019-19252||Linux内核中drivers/tty/vt/vc_screen.c中的vcs_write在5.3.13之前没有阻止对vcsu设备的写入访问，又称CID-0c9acb1af77a。
CVE-2019-19254||GitLab社区版（CE）和企业版（EE）。9.6及以后至12.5版本有不正确的访问控制。
CVE-2019-19255||GitLab企业版（EE）12.3及以后至12.5有不正确的访问控制。
CVE-2019-19256||GitLab企业版（EE）12.2及以后至12.5版本有不正确的访问控制。
CVE-2019-19257||GitLab社区版（CE）和企业版（EE）到12.5有不正确的访问控制（问题1 of 2）。
CVE-2019-19258||GitLab企业版（EE）10.8及以后至12.5有不正确的访问控制。
CVE-2019-19259||GitLab企业版（EE）11.3及以后至12.5允许不安全的直接对象引用（IDOR）。
CVE-2019-1926||Cisco Webex Network Recording Player for Microsoft Windows和Cisco Webex Player for Microsoft Windows中存在多个漏洞，可允许攻击者在受影响的系统上执行任意代码。这些漏洞的存在是因为受影响的软件不适当地验证高级录音格式（ARF）和Webex录音格式（WRF）文件。攻击者可通过链接或电子邮件附件向用户发送恶意的ARF或WRF文件，并说服用户在本地系统上用受影响的软件打开该文件，从而利用这些漏洞。成功利用后，攻击者可以在受影响系统上以目标用户的权限执行任意代码。
CVE-2019-19260|||GitLab社区版（CE）和企业版（EE）到12.5有不正确的访问控制（问题2的2）。
CVE-2019-19261||GitLab企业版（EE）6.7及以后至12.5版本允许SSRF。
CVE-2019-19262||GitLab企业版（EE）11.9及以后至12.5有不安全的权限。
CVE-2019-19263||GitLab企业版（EE）8.2及以后至12.5有不安全的许可。
CVE-2019-19264||在2019-11-25之前的Simplifile RecordFusion中，日志和hist参数允许远程攻击者通过logger/logs?/./或logger/hist?/./URI访问本地文件。
CVE-2019-19265||IceWarp WebMail Server 12.2.0 and 12.1.x before 12.2.1.1 (and probably earlier versions) 允许联系人备注中的XSS（问题1 of 2）。
CVE-2019-19266||IceWarp WebMail Server 12.2.0 and 12.1.x before 12.2.1.1 (and probably earlier versions) allows XSS (issue 2 of 2) in notes for objects.
CVE-2019-19269||在ProFTPD 1.3.6b之前的tls_verify_crl中发现一个问题。可能会发生对NULL指针的解除引用。当遇到由系统管理员安装的空CRL时，OpenSSL sk_X509_REVOKED_value()函数会返回该指针。在TLS客户端/服务器相互认证设置中验证连接到服务器的客户端的证书时，会发生脱引现象。
CVE-2019-1927||Cisco Webex Network Recording Player for Microsoft Windows和Cisco Webex Player for Microsoft Windows中存在多个漏洞，可允许攻击者在受影响系统上执行任意代码。这些漏洞的存在是因为受影响的软件不适当地验证高级录音格式（ARF）和Webex录音格式（WRF）文件。攻击者可通过链接或电子邮件附件向用户发送恶意的ARF或WRF文件，并说服用户在本地系统上用受影响的软件打开该文件，从而利用这些漏洞。成功利用后，攻击者可以利用目标用户的权限在受影响系统上执行任意代码。
CVE-2019-19270||在ProFTPD的tls_verify_crl中发现一个问题，直到1.3.6b。未能检查CRL条目的适当字段（检查两次主题，而不是一次主题和一次发行者），导致一些有效的CRL无法被考虑，并可能允许证书已被撤销的客户继续与服务器连接。
CVE-2019-19271||在ProFTPD 1.3.6之前的tls_verify_crl中发现一个问题。在根据CRL条目（由系统管理员安装）检查客户证书时，使用了一个错误的迭代变量，可能导致一些CRL条目被忽略，并可能允许证书已被撤销的客户继续与服务器进行连接。
CVE-2019-19272||在ProFTPD 1.3.6之前的tls_verify_crl中发现一个问题。在TLS客户/服务器相互认证设置中验证连接到服务器的客户的证书时，直接解除对NULL指针（初始化为NULL的变量）的引用，导致崩溃。
CVE-2019-19273||在使用O(8.0)和P(9.0)软件以及Exynos 8895芯片组的三星移动设备上，RKP（又称三星Hypervisor EL2实现）允许任意的内存写入操作。三星的ID是SVE-2019-16265。
CVE-2019-19274||typed_ast 1.3.0和1.3.1有一个handle_keywordonly_args越界读取。有能力使Python解释器解析Python源代码（但不一定执行）的攻击者可能会使解释器进程崩溃。这可能是一个问题，例如，在一个基于网络的服务中，解析（但不执行）Python代码。(这个问题也影响了某些Python 3.8.0-alpha预发布版本)。
CVE-2019-19275||typed_ast 1.3.0和1.3.1有一个 ast_for_arguments 越界读取。一个有能力使Python解释器解析Python源代码（但不一定执行）的攻击者可能会使解释器进程崩溃。这可能是一个问题，例如，在一个基于网络的服务中，解析（但不执行）Python代码。(这个问题也影响了某些Python 3.8.0-alpha预发布版本)。
CVE-2019-19276||在SIMATIC HMI Comfort Panels第一代（包括SIPLUS变体）（所有版本<V16 Update 4）、SIMATIC HMI KTP移动面板（所有版本<V16 Update 4）中发现一个漏洞。发送到161/udp端口的特别制作的数据包可能导致受影响设备的SNMP服务崩溃。需要手动重新启动设备才能恢复服务的运行。
CVE-2019-19277||在SIPORT MP（所有版本<3.1.4）中发现一个漏洞。漏洞版本的设备允许创建具有管理权限的特殊账户（"服务用户"），这可能使远程认证的攻击者执行系统的其他用户不可见的操作，例如授予人员访问安全区域的权限。
CVE-2019-19278||在SINAMICS PERFECT HARMONY GH180驱动器MLFB 6SR32.-.....-.... 中发现一个漏洞。MLFB 6SR4...-.....-....MLFB 6SR5...-.....-....带有选项A30（HMI 12英寸或更大）（所有版本），SINAMICS PERFECT HARMONY GH180驱动器MLFB 6SR325.-.....-....(高可用性）（所有版本）。受影响的设备包含一个漏洞，可能允许未经认证的攻击者将受影响的设备恢复到预定义的应用程序和操作系统保护机制没有到位的情况下。成功利用该漏洞需要对系统进行物理访问，但没有系统权限，也没有用户互动。攻击者可以利用该漏洞破坏设备的机密性、完整性和可用性。在咨询发布时，还没有发现对该安全漏洞的公开利用。
CVE-2019-19279||在配备EN100以太网通信模块的SIPROTEC 4和SIPROTEC Compact继电器（所有版本）中发现一个漏洞。向EN100以太网通信模块的50000/UDP端口发送的特殊制作的数据包可能导致受影响设备的拒绝服务。需要手动重启才能恢复设备的服务。在咨询发布时，西门子没有发现公开利用这一安全漏洞的情况。
CVE-2019-1928||Cisco Webex Network Recording Player for Microsoft Windows和Cisco Webex Player for Microsoft Windows中的多个漏洞可能允许攻击者在受影响系统上执行任意代码。这些漏洞的存在是因为受影响的软件不适当地验证高级录音格式（ARF）和Webex录音格式（WRF）文件。攻击者可通过链接或电子邮件附件向用户发送恶意的ARF或WRF文件，并说服用户在本地系统上用受影响的软件打开该文件，从而利用这些漏洞。成功利用后，攻击者可以利用目标用户的权限在受影响系统上执行任意代码。
CVE-2019-19281||在SIMATIC ET 200SP开放式控制器CPU 1515SP PC2（包括SIPLUS变体）（所有版本>= V2.5和< V20.8）、SIMATIC S7-1500 CPU系列（包括相关ET200 CPU和SIPLUS变体）（所有版本>= V2.5和< V2.8）、SIMATIC S7-1500软件控制器（所有版本>= V2.5和< V20.8）中发现一个漏洞。受影响的设备包含一个漏洞，允许未经授权的攻击者触发拒绝服务条件。如果专门制作的UDP数据包被发送到设备上，就会触发该漏洞。对受影响系统有网络访问权的攻击者可以利用该安全漏洞。成功的利用不需要系统权限和用户互动。攻击者可利用该漏洞破坏设备的可用性。
CVE-2019-19282||在OpenPCS 7 V8.1（所有版本）、OpenPCS 7 V8.2（所有版本）、OpenPCS 7 V9.0（所有版本<V9.0 Upd3）、SIMATIC BATCH V8.1（所有版本）、SIMATIC BATCH V8.2（所有版本）、SIMATIC BATCH V9.0（所有版本<V9。0 SP1 Upd5），SIMATIC NET PC软件V14（所有版本<V14 SP1 Update 14），SIMATIC NET PC软件V15（所有版本），SIMATIC NET PC软件V16（所有版本<V16 Update 1），SIMATIC PCS 7 V8.1（所有版本），SIMATIC PCS 7 V8.2（所有版本），SIMATIC PCS 7 V9.0（所有版本<V9。0 SP3）、SIMATIC Route Control V8.1（所有版本）、SIMATIC Route Control V8.2（所有版本）、SIMATIC Route Control V9.0（所有版本<V9.0 Upd4）、SIMATIC WinCC（TIA Portal）V13（所有版本<V13 SP2）、SIMATIC WinCC（TIA Portal）V14（所有版本<V14 SP1 Update 10）、SIMATIC WinCC（TIA Portal）V15。1（所有版本<V15.1 Update 5），SIMATIC WinCC（TIA Portal）V16（所有版本<V16 Update 1），SIMATIC WinCC V7.3（所有版本），SIMATIC WinCC V7.4（所有版本<V7.4 SP1 Update 14），SIMATIC WinCC V7.5（所有版本<V7.5 SP1 Update 1）。通过特制的信息，当启用加密通信时，具有网络访问权限的攻击者可以利用该漏洞，通过造成拒绝服务的情况来破坏系统的可用性。成功利用该漏洞不需要系统权限，也不需要用户互动。
CVE-2019-19283||在XHQ（所有版本<6.1）中发现一个漏洞。该应用程序的网络服务器可能会暴露关于服务器架构的非敏感信息。这可能会使攻击者适应现有版本的进一步攻击。
CVE-2019-19284||在XHQ（所有版本<6.1）中发现一个漏洞。如果攻击者能够修改特定网页的内容，导致应用程序以合法用户意想不到的方式行事，则网络界面可能允许跨网站脚本（XSS）攻击。
CVE-2019-19285||在XHQ（所有版本<6.1）中发现一个漏洞。如果毫无戒心的用户被诱骗访问恶意链接，网络界面可能允许注入信息，从而导致XSS攻击。
CVE-2019-19286||在XHQ（所有版本<6.1）中发现一个漏洞。如果攻击者能够修改特定网页的内容，网络界面可能允许SQL注入攻击。
CVE-2019-19287||在XHQ（所有版本<6.1）中发现一个漏洞。网络界面可允许攻击者通过在未经认证的情况下通过网络发送特制的数据包来穿越基于服务器的文件系统。
CVE-2019-19288||在XHQ（所有版本<6.1）中发现一个漏洞。如果毫无戒心的用户被诱骗访问恶意链接，网络界面可能允许跨站脚本（XSS）攻击。
CVE-2019-19289||在XHQ（所有版本<6.1）中发现一个漏洞。如果毫无戒心的用户被诱骗访问恶意链接，网络界面可能允许跨站请求伪造（CSRF）攻击。
CVE-2019-1929||Cisco Webex Network Recording Player for Microsoft Windows和Cisco Webex Player for Microsoft Windows中的多个漏洞可能允许攻击者在受影响系统上执行任意代码。这些漏洞的存在是因为受影响的软件不适当地验证高级录音格式（ARF）和Webex录音格式（WRF）文件。攻击者可通过链接或电子邮件附件向用户发送恶意的ARF或WRF文件，并说服用户在本地系统上用受影响的软件打开该文件，从而利用这些漏洞。成功利用后，攻击者可以在受影响系统上以目标用户的权限执行任意代码。
CVE-2019-19290||控制中心服务器（CCS）（所有版本<V1.5.0）中发现一个漏洞。控制中心服务器（CCS）Web界面中的DOWNLOADS部分包含一个路径遍历漏洞，可允许经过验证的远程攻击者访问并从安装CCS的服务器中下载任意文件。
CVE-2019-19291||控制中心服务器（CCS）（所有版本<V1.5.0）、SiNVR/SiVMS视频服务器（所有版本<V5.0.0）中发现一个漏洞。SiVMS/SiNVR 视频服务器和控制中心服务器 (CCS) 的 FTP 服务维护的日志文件以明文方式存储登录凭证。在启用FTP服务的配置中，经过验证的远程攻击者可以提取该服务的其他用户的登录凭证。
CVE-2019-19292||控制中心服务器（CCS）（所有版本<V1.5.0）中发现一个漏洞。控制中心服务器（CCS）在其基于XML的通信协议中包含一个SQL注入漏洞，该协议默认在端口5444/tcp和5440/tcp提供。经过验证的远程攻击者可以利用这一漏洞读取或修改CCS数据库，并可能执行管理数据库操作或操作系统命令。
CVE-2019-19293||在控制中心服务器（CCS）（所有版本<V1.5.0）中发现一个漏洞。控制中心服务器（CCS）的Web界面包含一个反映的跨站脚本（XSS）漏洞，可能允许未经认证的远程攻击者代表CCS Web界面的合法管理员窃取敏感数据或执行管理操作。
CVE-2019-19294||控制中心服务器（CCS）（所有版本<V1.5.0）中发现一个漏洞。控制中心服务器（CCS）的网络界面在几个输入字段中包含多个存储的跨站脚本（XSS）漏洞。这可能允许经过验证的远程攻击者将恶意的JavaScript代码注入CCS网络应用程序，随后在查看相关CCS网络内容的任何其他用户的浏览器上下文中执行。
CVE-2019-19295||控制中心服务器（CCS）（所有版本<V1.5.0）中发现一个漏洞。控制中心服务器（CCS）在其基于XML的通信协议中没有强制记录安全相关的活动，该协议默认在端口5444/tcp和5440/tcp提供。经过验证的远程攻击者可以利用这一漏洞，执行应用程序日志中不可见的秘密行动。
CVE-2019-19296||在SiNVR/SiVMS视频服务器（所有版本<V5.0.0）中发现一个漏洞。SiVMS/SiNVR视频服务器的两个FTP服务（默认端口21/tcp和5411/tcp）包含一个路径遍历漏洞，如果FTP服务被启用，可能允许有身份的远程攻击者访问并从服务器下载任意文件。
CVE-2019-19297||在SiNVR/SiVMS视频服务器（所有版本<V5.0.0）中发现一个漏洞。SiVMS/SiNVR视频服务器的流媒体服务（默认端口5410/tcp）包含一个路径遍历漏洞，这可能允许未经认证的远程攻击者访问并从服务器下载任意文件。
CVE-2019-19298||在SiNVR/SiVMS视频服务器（所有版本<V5.0.2）中发现一个漏洞。SiVMS/SiNVR视频服务器的流媒体服务（默认端口5410/tcp）包含一个输入验证漏洞，这可能允许未经认证的远程攻击者通过发送畸形的HTTP请求导致拒绝服务的情况。
CVE-2019-19299||在SiNVR/SiVMS视频服务器（所有版本）中发现一个漏洞。SiVMS/SiNVR视频服务器的流媒体服务（默认端口5410/tcp）在暴露设备（摄像机）密码时应用了弱加密技术。这可能允许未经认证的远程攻击者读取和解密密码并进行进一步攻击。
CVE-2019-1930||思科火力管理中心（FMC）基于网络的管理界面中的RSS仪表板存在多个漏洞，可能允许未经认证的远程攻击者对受影响设备的基于网络的管理界面的用户进行跨站脚本（XSS）攻击。这些漏洞是由于受影响设备的基于网络的管理界面对用户提供的输入没有进行充分验证。攻击者可以通过说服界面的用户点击一个精心制作的链接来利用这些漏洞。成功利用后，攻击者可以在受影响界面的上下文中执行任意脚本代码或访问敏感的、基于浏览器的信息。
CVE-2019-19300||在PROFINET IO的开发/评估套件中发现了一个漏洞。EK-ERTEC 200（所有版本）、PROFINET IO的开发/评估套件。EK-ERTEC 200P（所有版本）、KTK ATE530S（所有版本）、SIDOOR ATD430W（所有版本）、SIDOOR ATE530S COATED（所有版本）、SIDOOR ATE531S（所有版本）、SIMATIC ET 200SP开放式控制器CPU 1515SP PC（包括SIPLUS变体）（所有版本< V2.0）、SIMATIC ET 200SP开放式控制器CPU 1515SP PC2（包括。SIMATIC ET200AL IM157-1 PN (所有版本), SIMATIC ET200ecoPN, CM 8x IO-Link, M12-L (所有版本>= V5.1.1), SIMATIC ET200ecoPN, DI 16x24VDC, M12-L (所有版本>= V5.1.1), SIMATIC ET200ecoPN, DI 8x24VDC, M12-L (所有版本>= V5.1.1）, SIMATIC ET200ecoPN, DIQ 16x24VDC/2A, M12-L (所有版本 >= V5.1.1), SIMATIC ET200ecoPN, DQ 8x24VDC/0,5A, M12-L (所有版本 >= V5.1.1), SIMATIC ET200ecoPN, DQ 8x24VDC/2A, M12-L（所有版本 >= V5.1.1）, SIMATIC ET200MP IM155-5 PN HF（包括。所有版本>= V4.2）, SIMATIC ET200SP IM155-6 MF HF（所有版本）, SIMATIC ET200SP IM155-6 PN HA（包括SIPLUS变体）（所有版本）, SIMATIC ET200SP IM155-6 PN HF（包括SIPLUS变体）（所有版本>= V4.2）, SIMATIC ET200SP IM155-6 PN/2 HF（包括。SIPLUS变体）（所有版本>= V4.2），SIMATIC ET200SP IM155-6 PN/3 HF（包括SIPLUS变体）（所有版本>= V4.2），SIMATIC MICRO-DRIVE PDC（所有版本），SIMATIC PN/MF耦合器（所有版本），SIMATIC PN/PN耦合器（包括SIPLUS NET变体）（所有版本>= V4.2），SIMATIC S7-1200 CPU系列（包括SIPLUS变体）（所有版本< V4.4.0），SIMATIC S7-1500 CPU系列（包括相关的ET200 CPU和SIPLUS变体）（所有版本< V2.0），SIMATIC S7-1500软件控制器（所有版本< V2.0），SIMATIC S7-300 CPU系列（包括。相关的ET200 CPU和SIPLUS变体）（所有版本），SIMATIC S7-400 H V6 CPU家族及以下（包括SIPLUS变体）（所有版本），SIMATIC S7-400 PN/DP V7 CPU家族（包括SIPLUS变体）（所有版本），SIMATIC S7-410 V10 CPU家族（包括。SIPLUS变体）（所有版本），SIMATIC S7-410 V8 CPU系列（包括SIPLUS变体）（所有版本），SIMATIC TDC CP51M1（所有版本），SIMATIC TDC CPU555（所有版本），SIMATIC WinAC RTX 2010（所有版本），SIMATIC WinAC RTX F 2010（所有版本），SINAMICS S/G控制单元和PROFINET（所有版本）。基于Interniche的TCP堆栈可以被迫为每个传入的数据包进行非常昂贵的调用，这可能导致拒绝服务。
SCALANCE X200-4P IRT、SCALANCE X201-3P IRT、SCALANCE X201-3P IRT PRO、SCALANCE X202-2IRT、SCALANCE X202-2P IRT、SCALANCE X202-2P IRT PRO、SCALANCE X204-2中发现一个漏洞。SCALANCE X204-2FM，SCALANCE X204-2LD，SCALANCE X204-2LD TS，SCALANCE X204-2TS，SCALANCE X204irt，SCALANCE X204irt PRO，SCALANCE X206-1，SCALANCE X206-1LD，SCALANCE X208，SCALANCE X208PRO，SCALANCE X212-2，SCALANCE X212-2LD。SCALANCE X216, SCALANCE X224, SCALANCE X302-7 EEC (230V), SCALANCE X302-7 EEC (230V, coated), SCALANCE X302-7 EEC (24V), SCALANCE X302-7 EEC (24V, coated),涂层），SCALANCE X302-7 EEC（2x 24V），SCALANCE X302-7 EEC（2x 24V，涂层），SCALANCE X304-2FE，SCALANCE X306-1LD FE，SCALANCE X307-2 EEC（230V），SCALANCE X307-2 EEC（230V，涂层），SCALANCE X307-2 EEC（24V）。SCALANCE X307-2 EEC (24V, coated), SCALANCE X307-2 EEC (2x 230V), SCALANCE X307-2 EEC (2x 230V, coated), SCALANCE X307-2 EEC (2x 24V), SCALANCE X307-2 EEC (2x 24V, coated),SCALANCE X307-3LD，SCALANCE X307-3LD，SCALANCE X308-2，SCALANCE X308-2LD，SCALANCE X308-2LD，SCALANCE X308-2LH，SCALANCE X308-2LH+，SCALANCE X308-2LH+，SCALANCE X308-2M。SCALANCE X308-2M, SCALANCE X308-2M PoE, SCALANCE X308-2M PoE, SCALANCE X308-2M TS, SCALANCE X310, SCALANCE X310FE, SCALANCE X310FE, SCALANCE X320-1 FE, SCALANCE X320-1-2LD FE,SCALANCE X408-2、SCALANCE XF201-3P IRT、SCALANCE XF202-2P IRT、SCALANCE XF204、SCALANCE XF204-2、SCALANCE XF204-2BA IRT、SCALANCE XF204IRT、SCALANCE XF206-1、SCALANCE XF208、SCALANCE XR324-12M（230V，端口在前面）。SCALANCE XR324-12M（230V，端口在前）、SCALANCE XR324-12M（230V，端口在后）、SCALANCE XR324-12M（230V，端口在后）、SCALANCE XR324-12M（24V，端口在前）、SCALANCE XR324-12M（24V，端口在前）。SCALANCE XR324-12M（24V，后部端口）、SCALANCE XR324-12M（24V，后部端口）、SCALANCE XR324-12M TS（24V）、SCALANCE XR324-12M TS（24V）、SCALANCE XR324-4M EEC（100-240VAC/60-250VDC，前端端口）。SCALANCE XR324-4M EEC（100-240VAC/60-250VDC，端口在前），SCALANCE XR324-4M EEC（100-240VAC/60-250VDC，端口在后），SCALANCE XR324-4M EEC（100-240VAC/60-250VDC，端口在后），SCALANCE XR324-4M EEC（24V。端口在前面）、SCALANCE XR324-4M EEC（24V，端口在前面）、SCALANCE XR324-4M EEC（24V，端口在后面）、SCALANCE XR324-4M EEC（24V，端口在后面）、SCALANCE XR324-4M EEC（2个100-240VAC/60-250VDC，端口在前面）。SCALANCE XR324-4M EEC（2 个 100-240VAC/60-250VDC，端口在前面），SCALANCE XR324-4M EEC（2 个 100-240VAC/60-250VDC，端口在后面），SCALANCE XR324-4M EEC（2 个 100-240VAC/60-250VDC，端口在后面），SCALANCE XR324-4M EEC（2 个 24V。端口在前面）、SCALANCE XR324-4M EEC（2个24V，端口在前面）、SCALANCE XR324-4M EEC（2个24V，端口在后面）、SCALANCE XR324-4M EEC（2个24V，端口在后面）、SCALANCE XR324-4M PoE（230V，端口在前面）。SCALANCE XR324-4M PoE（230V，后置端口），SCALANCE XR324-4M PoE（24V，前置端口），SCALANCE XR324-4M PoE（24V，后置端口），SCALANCE XR324-4M PoE TS（24V，前置端口），SIMATIC CP 343-1 Advanced。SIMATIC CP 442-1 RNA、SIMATIC CP 443-1、SIMATIC CP 443-1 Advanced、SIMATIC CP 443-1 RNA、SIMATIC RF180C、SIMATIC RF182C、SIPLUS NET CP 343-1 Advanced、SIPLUS NET CP 443-1、SIPLUS NET CP 443-1 Advanced和SIPLUS NET SCALANCE X308-2。基于VxWorks的Profinet TCP堆栈可被强制对每个传入的数据包进行非常昂贵的调用，这可能导致拒绝服务。
CVE-2019-19306||WordPress的Zoho CRM Lead Magnet插件1.6.9.1允许通过模块、EditShortcode或LayoutName的XSS。
CVE-2019-19307||Cesanta Mongoose 6.16中mongoose.c中的parse_mqtt存在整数溢出，允许攻击者通过发送精心制作的MQTT协议包实现远程DoS（无限循环），或可能导致越界写入。
CVE-2019-19308|||在gnome-font-viewer 3.34.0中sushi-font-widget.c的text_to_glyphs中，在解析缺乏名称部分的TTF字体文件时，存在NULL指针脱引（由于g_strconcat的调用返回NULL）。
CVE-2019-19309||GitLab企业版（EE）8.90及以后至12.5有不正确的访问控制。
