CVE-2018-21098||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21152||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.1.34之前的D7800，1.0.3.26之前的R7500v2，1.0.2.42之前的R7800，1.0.3.10之前的R8900，1.0.3.10之前的R9000，1.0.0.54之前的WNDR4300v2，以及1.0.0.54之前的WNDR4500v3。
CVE-2018-21153||某些NETGEAR设备受到未经授权的攻击者的缓冲区溢出的影响。这影响到1.0.1.34之前的D7800，1.0.0.50之前的DM200，1.0.1.32之前的EX2700，1.0.1.70之前的EX6100v2，1.0.1.70之前的EX6150v2，1.0.1.62之前的EX6200v2。0.1.62之前，1.0.1.78之前的EX6400，1.0.1.62之前的EX7300，1.0.0.114之前的EX8000，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0之前的R7500v2。3.26，1.0.2.40之前的R7800，1.0.3.10之前的R8900，1.0.3.10之前的R9000，1.0.1.26之前的WN2000RPTv3，1.0.0.56之前的WN3000RPv2，1。0.2.66之前，WN3100RPv2在1.0.0.56之前，WNDR4300在1.0.2.98之前，WNDR4300v2在1.0.0.54之前，WNDR4500v3在1.0.0.54之前，以及WNR2000v5在1.0.0.64之前。
CVE-2018-21154||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.1.34之前的D7800，1.0.0.50之前的DM200，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.3.26之前的R7500v2，和1.0.2.42之前的R7800。
CVE-2018-21155||某些NETGEAR设备受存储XSS影响。这影响了1.0.1.34之前的D7800，1.0.0.52之前的DM200，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.3.26之前的R7500v2，1.0.2之前的R7800。42，1.0.4.2之前的R8900，1.0.3.16之前的R9000，1.0.2.98之前的WNDR4300，1.0.0.54之前的WNDR4300v2，1.0.0.54之前的WNDR4500v3，以及1.0.0.64之前的WNR2000v5。
CVE-2018-21156||某些NETGEAR设备受认证用户的缓冲区溢出影响。这影响到1.0.0.38之前的D6220，1.0.0.74之前的D6400，1.0.0.74之前的D7000v2，1.0.3.39之前的D8500，1.0.0.102之前的DGN2200v4，1.0.0.102之前的DGN2200Bv4，1.0.0.70之前的EX3700，1.0.0.70之前的EX3800。70, 1.0.0.30之前的EX6000, 1.0.2.22之前的EX6100, 1.0.0.40之前的EX6120, 1.0.0.22之前的EX6130, 1.0.0.38之前的EX6150, 1.0.3.86之前的EX6200, 1.0.0.64之前的EX7000, 1.0.4.20之前的R6250, 1.0.4之前的R6300v2。22, 1.0.1.32之前的R6400, 1.0.2.52之前的R6400v2, 1.0.1.44之前的R6700, 1.0.1.44之前的R6900, 1.3.0.18之前的R6900P, 1.0.9.28之前的R7000, 1.3.0.18之前的R7000P, 1.0.0.62之前的R7300DST, 1.0.2.10之前，R7900P在1.3.0.10之前，R8000在1.0.4.12之前，R8000P在1.3.0.10之前，R8300在1.0.2.116之前，R8500在1.0.2.116之前，WN2500RPv2在1.0.1.52之前，WNDR3400v3在1.0.1.18之前，WNR3500Lv2在1.2.0.46之前。
CVE-2018-21157||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.1.28之前的D7800、1.0.1.44之前的R6700、1.0.1.44之前的R6900、1.0.9.28之前的R7000、1.0.3.24之前的R7500v2、1.0.2.38之前的R7800、1.0.2.52之前的R9000、1.0.0.50之前的WNDR4300v2，以及1.0.0.50之前的WNDR4500v3。
CVE-2018-21158||NETGEAR R7800设备在1.0.2.46之前受到安全设置不正确配置的影响。
CVE-2018-21159||NETGEAR ReadyNAS设备在6.9.3之前受到安全设置不正确配置的影响。
CVE-2018-2116||**拒绝 **不要使用这个候选号码。  咨询IDs：无。  原因是。这个候选人在2018年期间没有被分配到任何问题的CNA池中。  备注：无。
CVE-2018-21160||NETGEAR ReadyNAS设备在6.9.3之前受CSRF影响。
CVE-2018-21161||某些NETGEAR设备受安全设置的不正确配置影响。这影响到1.0.1.34之前的D7800，1.0.2.46之前的R7800，以及1.0.3.16之前的R9000。
CVE-2018-21162||某些NETGEAR设备受到未经认证的攻击者的命令注入影响。这影响到1.0.0.78之前的D6400，1.0.3.86之前的EX6200，1.0.0.64之前的EX7000，1.0.4.8之前的R6250，1.0.4.6之前的R6300v2，1.0.1.12之前的R6400，1.0.1.16之前的R6700，1.0.7之前的R7000。10、1.0.0.42之前的R7100LG、1.0.0.44之前的R7300DST、1.0.1.12之前的R7900、1.0.3.36之前的R8000、1.0.2.74之前的R8300、1.0.2.74之前的R8500、1.0.1.14之前的WNDR3400v3、1.2.0.48之前的WNR3500Lv2。
CVE-2018-21163||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.0.102之前的DGN2200Bv4、1.0.0.102之前的DGN2200v4、1.0.0.70之前的EX3700、1.0.0.70之前的EX3800、1.0.0.30之前的EX6000、1.0.2.22之前的EX6100、1.0.0.40之前的EX6120、1.0.0.22之前的EX630、1.0.0.38之前的EX6150、1.0.3.86之前的EX6200。3.86，1.0.0.64之前的EX7000，1.0.4.22之前的R6300v2，1.3.0.18之前的R6900P，1.3.0.18之前的R7000P，1.0.0.18之前的R7300DST。62，1.3.0.10之前的R7900P，1.0.4.12之前的R8000，1.3.0.10之前的R8000P，1.0.1.52之前的WN2500RPv2，以及1.0.1.18之前的WNDR3400v3。
CVE-2018-21164||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.1.0.64之前的R6220和1.1.0.54之前的WNDR3700v5。
CVE-2018-21165||某些NETGEAR设备受到拒绝服务的影响。这影响到1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.2.42之前的R7800，1.0.3.10之前的R8900，1.0.3.10之前的R9000。10、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3和1.0.0.64之前的WNR2000v5。
CVE-2018-21166||某些NETGEAR设备受到拒绝服务的影响。这影响到1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.2.42之前的R7800，1.0.3.10之前的R8900，1.0.3.10之前的R9000。10、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3以及1.0.0.64之前的WNR2000v5。
CVE-2018-21167||某些NETGEAR设备受存储XSS影响。这影响到1.0.0.57之前的D6100，1.0.0.50之前的DM200，1.0.1.32之前的EX2700，1.0.1.70之前的EX6100v2，1.0.1.70之前的EX6150v2，1.0.1.62之前的EX6200v2。0.1.62, 1.0.1.78之前的EX6400, 1.0.1.78之前的EX7300, 1.0.0.114之前的EX8000, 1.0.1.22之前的R6100, 1.0.0.122之前的R7500, 1.0.2.42之前，R8900在1.0.3.10之前，R9000在1.0.3.10之前，WN2000RPTv3在1.0.1.26之前，WN3000RPv3在1.0.2.66之前，WN3100RPv2在1.0.42、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3和1.0.0.64之后的WNR2000v5。
CVE-2018-21168||某些NETGEAR设备受到敏感信息泄露的影响。这影响到1.0.1.52之前的D7000，1.0.1.31之前的D7800，1.0.3.36之前的D8500，1.1.0.46之前的JNR1010v2，1.0.1.14之前的JR6150，1.1.0.46之前的JWNR2010v5，1.0.0.20之前的PR2000，1.0.1.14之前的R6050。0.1.14之前的R6220，1.1.0.60之前的R6400，1.1.0.26之前的R6400v2，1.0.2.46之前的R6700v2，1.2.0.2之前的R6800，1.2.0.2之前的R6900v2，1.0.0.56之前的R7300DST，1.0.0.112之前的R7500v2，1.0.3.24之前的R7800，1.0.2.36之前的R7900P，1.1.4.6之前的R8000P，1.0.2.104之前的R8300，1.0.2.104之前的R8500，1.0.2.52之前的R9000，1.0之前的WNDR3700v4。2.94之前的WNDR3700v5，1.1.0.50之前的WNDR4300，1.0.2.96之前的WNDR4300v2，1.0.0.52之前的WNDR4500v3，1.1.0.46之前的WNR1000v4，1.1.0.46之前的WNR2020，以及1.1.0.46之后的WNR2050。
CVE-2018-21169||某些NETGEAR设备因安全设置的配置不正确而受到影响。这影响了2018-03-01之前的D7000、1.0.1.31之前的D7800、1.0.3.36之前的D8500、1.1.0.46之前的JNR1010v2、1.0.1.14之前的JR6150、1.1.0.46之前的JWNR2010v5、2018-03-01之前的PR2000、1.1.0.14之前的R6050。0.1.14之前的R6220，1.1.0.60之前的R6400，1.1.0.26之前的R6400v2，1.0.2.46之前的R6700v2，1.2.0.2之前的R6800，1.2.0.2之前的R6900v2，1.0.0.56之前的R7300DST，1.0.0.112之前的R7500v2，1.0.3.24之前的R7800，1.0.2.36之前的R7900P，1.1.4.6之前的R8000P，1.0.2.104之前的R8300，1.0.2.104之前的R8500，1.0.2.52之前的R9000，1.0之前的WNDR3700v4。2.94之前的WNDR3700v5，1.1.0.50之前的WNDR4300，1.0.2.96之前的WNDR4300v2，1.0.0.52之前的WNDR4500v3，1.1.0.46之前的WNR1000v4，1.1.0.46之前的WNR2020，以及1.1.0.46之前的WNR2050。
cve-2018-2117||***拒绝 **不要使用这个候选号码。  咨询IDs：无。  原因是。该候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21170||某些NETGEAR设备受到未经认证的攻击者的基于堆栈的缓冲区溢出的影响。这影响到1.0.1.28之前的EX2700、1.0.2.40之前的R7800、1.0.1.20之前的WN2000RPTv3、1.0.2.50之前的WN3000RPv3和1.0.0.56之前的WN3100RPv2。
CVE-2018-21171||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.0.57之前的D6100，1.0.2.40之前的R7800，1.0.3.6之前的R9000，1.0.2.92之前的WNDR3700v4，以及1.0.2.98之前的WNDR4300。
CVE-2018-21172||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.2.40之前的R7800、1.0.2.52之前的R9000、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3和1.0.0.62之前的WNR2000v5。
CVE-2018-21173||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.0.122之前的R7500、1.0.2.40之前的R7800、1.0.2.52之前的R9000、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3和1.0.0.62之前的WNR2000v5。
CVE-2018-21174||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.0.57之前的D6100、1.0.0.122之前的R7500、1.0.2.40之前的R7800、1.0.2.52之前的R9000、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3以及1.0.0.62之后的WNR2000v5。
CVE-2018-21175||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.0.57之前的D6100、1.0.1.20之前的R6100、1.0.2.40之前的R7800、1.0.2.52之前的R9000、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3和1.0.0.62之前的WNR2000v5。
CVE-2018-21176||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.0.57之前的D6100，1.0.1.20之前的R6100，1.0.0.122之前的R7500，1.0.2.40之前的R7800，1.0.2之前的R9000。52、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3以及1.0.0.62之前的WNR2000v5。
CVE-2018-21177||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.0.57之前的D6100、1.0.1.20之前的R6100、1.0.2.40之前的R7800、1.0.2.52之前的R9000、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3和1.0.0.62之前的WNR2000v5。
CVE-2018-21178||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.2.40之前的R7800、1.0.2.52之前的R9000、1.0.2.92之前的WNDR3700v4、1.0.2.94之前的WNDR4300、1.0.0.50之前的WNDR4300v2、1.0.0.50之前的WNDR4500v3和1.0.0.62之前的WNR2000v5。
CVE-2018-21179||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.0.57之前的D6100，1.0.1.30之前的D7800，1.0.0.122之前的R7500，1.0.3.24之前的R7500v2，1.0.2.40之前的R7800，1.0.2.52之前的R9000。0.2.52之前，WNDR3700v4在1.0.2.92之前，WNDR4300在1.0.2.94之前，WNDR4300v2在1.0.0.50之前，WNDR4500v3在1.0.0.50之前，以及WNR2000v5在1.0.0.62之前。
cve-2018-2118||***拒绝 **不要使用这个候选号码。  咨询IDs：无。  原因是。该候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
